parent_name,parent_id,parent_city,language,entity_type
PYRENEES SA AUTOMOVILS PYRENEES,AD*110000828327,AD,ca,company
ART ASSOCIATS SL,AD*110001502634,AD,ca,company
"41 MES, SLU",AD*110007709646,AD,ca,company
CODESI SAU,AD*110009932112,AD,ca,company
PIC NEGRE SA,AD*110009940808,AD,ca,company
MORALT SL,AD*110023244125,AD,ca,company
ALIRET SL,AD*110149937133,AD,ca,company
REIG CAPITAL GROUP,AD*110154432145,AD,ca,company
KOMP VEG KHOLDING GMBH,AD*110155149706,AD,de,company
CREDIT ASSEGURANCES SA,AD*1362510,AD,ca,company
COMIN SA,AD*330112851,AD,ca,company
TOP VINS SL,AD*330756130,AD,ca,company
"VIVA, INVERSIONS I ADMINISTRACIO, S.A.",AD*336706864,AD,ca,company
JOAN TORRES PUIG,AD*490766495,AD,ca,individual
MEMBERS OF THE MORA FAMILY,AD*76571,AD,en,family_firm
ANDORRAN FAMILY GROUP,AD*920156862,AD,en,family_firm
SOGAR SL,AD*A0005970152,AD,ca,company
ALIRET SL,AD*A0031053704,AD,ca,company
QWI SLU,AD*A0035143867,AD,ca,company
PAS GRAU INTERNACIONAL,AD*A0035323797,AD,ca,company
NA GROUP,AD*A0035900296,AD,en,company
INVERSIONS INTERNACIONALS GOTIM SLU,AD*B000029238,AD,ca,company
PRINCIPAT HOLDING SL,AD*B000060153,AD,ca,company
"AM INTERNATIONAL HOLDINGS LIMITED, S.L.",AD*D00393162,AD,en,company
"PATINVEST, S.A.",AD0200118928600000,AD,ca,company
"INTURINVEST, S.A.",AD0201318261400000,AD,ca,company
ANDORRA BANC AGRICOL REIG SA - ANDBANK,AD18424,AD,ca,government
CREDIT ANDORRA,AD32845,AD,ca,government
