parent_name,parent_id,parent_city,language,entity_type
LAURENT CONTINENTAL INC,AI*110002514350,AI,en,company
TRAKTOR EKSPORT LTD.,AI*110019608672,AI,en,company
ALEKS LIMITED (ALLEX LIMITED),AI*110019680487,AI,en,company
DENERKO ENTERPRAISEZ LTD.,AI*110019995470,AI,en,company
BARELL GRUP INK ANGILYA,AI*110020026442,AI,ru,company
BRANDENBURG NO. 2 LTD.,AI*110140764926,AI,en,company
AURUM REX HERITAGE INC,AI*110147822259,AI,en,company
KOMPANIYA SOMERTEKS LTD,AI*110148080024,AI,ru,company
EASTERN INVESTMENT GROUP HOLDING (EASTERN HOLDING),AI*110154840113,AI,en,company
EASTERN INVESTMENT GROUP HOLDING (EASTERN HOLDING),AI*110154840138,AI,en,company
AKTSIONERNOE OBSHCHESTVO SHILTON INKORPOREITID,AI*1307825807,AI,ru,company
KOMPANIYA GEORESORSIZ LIMITED,AI*1341259001,AI,ru,company
TRIUMF LIMITED,AI*1341796255,AI,en,company
CL III REO (OFFSHORE) LLC,AI*190521557085,AI,en,company
ACO II INVESTMENT HOLDING COMPANY (OFFSHORE) LLC,AI*780210313,AI,en,company
AIRCRAFT SOLUTIONS II-B (OFFSHORE) LLC,AI*780210315,AI,en,company
DAEDALUS LTD,AI*901702212,AI,en,company
KINGFISHER DISTRIBUTION CO LTD,AI*B000056807,AI,en,company
FARAWAY CAPITAL LTD,AI*B000077354,AI,en,company
PORTHOS LTD,AI*D00385696,AI,en,company
"HNA FINANCE I CO., LTD",AI*Z00228442,AI,en,company
