parent_name,parent_id,parent_city,language,entity_type
MOE RI SAN KHAM PA NI,AM*110000741430,AM,hy,company
PZ CUSSONS HOLDINGS LTD,AM*110008778873,AM,en,company
ZAKRYTOE AKTSIONERNOE OBSHCHESTVO LYUKS INVEST,AM*110019602896,AM,en,company
CALCOR LIMITED,AM*110020780766,AM,en,company
ZAKRYTOE AKTSIONERNOE OBSHCHESTVO RITEIL NETVORK GRUP,AM*110136756342,AM,en,company
GEGHAMA,AM*110148079940,AM,hy,individual
KHANDANYAN NARINE,AM*110154105043,AM,hy,individual
ZAKRYTOE AKTSIONERNOE OBSHCHESTVO SELL GRUP UORLDVAID KHOLDING,AM*110155141637,AM,en,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU ELIT-NN FINANS KOMPANI,AM*110156748443,AM,ru,company
L-M-I CAPITAL,AM*1317020957,AM,en,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VERAKANGNUM,AM*1320532423,AM,ru,company
KHACHATRYAN ARTUR,AM*570171590,AM,hy,individual
VETSIKYAN HAYKAZ,AM*570255049,AM,hy,individual
ARTUR - ASHOT,AM*608163489,AM,hy,family_firm
ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KEI-ES-EM-EI,AM*619546293,AM,en,company
ARMENIA COPPER PROGRAMME CJSC,AM*915319568,AM,en,company
BUSINESS CENTER OF INVESTMENTS LLC,AM*918626681,AM,en,company
CENTER FOR AGRIBUSINESS AND RURAL DEVELOPMENT FOUNDATION,AM*D00387529,AM,en,company
ARMENIA,AM*J00S1615,AM,en,government
INECOBANK CJSC,AM40273,AM,en,company
ACBA-CREDIT AGRICOLE BANK CJSC,AM40579,AM,en,company
