parent_name,parent_id,parent_city,language,entity_type
BORISAT KHRO FO AEN KHAM PHA NI IN TOE NE CHAN,AO*110000719824,AO,en,company
GOVERNO DA REPUBLICA DE ANGOLA,AO*J00S5020,AO,pt,government
ACADEMIA SONANGOL SA,AO0240120377000000,AO,pt,company
STOKA DISTRIBUICAO DE STOCKS S.A.,AO0240122089300000,AO,pt,company
"MDV - MADEIRAS E DERIVADOS, S.A.",AO0240133275900000,AO,pt,company
"MONTCLAIR CAPITAL, S.A.",AO0240135381600000,AO,en,company
"INTER SERVIÇOS DE ROSA FERREIRA E CA., LDA",AO0241420744300000,AO,pt,family_firm
GAM - GRUPO ANTONIO MOSQUITO,AO100001724,AO,pt,family_firm
SOCIEDADE NACIONAL COMBUSTIVEIS ANGOLA,AO100002345,AO,en,company
"BRICOMAT - CONSTRUCOES, MAQUINAS E FERRAMENTAS, LDA.",AO100004072,AO,pt,company
"GRUPO GALLIUM, LDA.",AO100006662,AO,pt,company
MINISTERIO DAS FINANCAS,AO100009153,AO,pt,government
"MEIA BOTA ANGOLA, LDA.",AO100014283,AO,pt,family_firm
"GLOBAL PACTUM - GESTAO DE ACTIVOS, S.A.",AO100014693,AO,en,company
"UNITEL, S.A.",AO100016864,AO,pt,company
GRUPO FF - GESTAO DE ACTIVOS LDA,AO100018362,AO,pt,family_firm
PREBUILD SGPS,AO100018569,AO,pt,individual
BANCO ESPIRITO SANTO ANGOLA,AO16456,AO,pt,company
BANCO ANGOLANO DE INVESTIMENTOS,AO18581,AO,pt,government
BANCO DE NEGOCIOS INTERNACIONAL SA,AO26980,AO,en,government
"INTRAMUROS - DISTRIBUIÇÃO CENTRALIZADA, S.A.",AONIF980408881,AO,en,company
"BERKELEY - GESTÃO E SERVIÇOS, S.A.",AONIF980453194,AO,pt,company
"SOPARIN-GESTÃO, INVESTIMENTOS E PARTICIPAÇÕES, LIMITADA",AONIF980472393,AO,pt,company
ASSOCIAÇÃO INSTITUTO PIAGET DE ANGOLA,AONIF980497620,AO,pt,company
"PUBLIVISION - COMUNICAÇÃO E IMAGEM, LIMITADA",AONIF980520959,AO,en,company
"ORGANIZAÇÕES BENTO K. - CONSTRUÇÃO CIVIL, OBRAS PÚBLICAS E COMÉRCIO GERAL, LIMITADA",AONIF980525047,AO,en,family_firm
"DGMC - DINÂMICAS GLOBAIS DE MARKETING E COMUNICAÇÃO, S.A.",AONIF980553563,AO,pt,company
