parent_name,parent_id,parent_city,language,entity_type
M DEPEILLE MATHIAS,AR*1049287470,AR,es,individual
METABOWERKE GMBH CO,AR*110000084862,AR,en,company
BANCO DE LA NACIÓN ARGENTINA S.A,AR*110149636106,AR,es,company
GOBIERNO PROVINCIA DEL CHACO,AR*1345040,AR,es,government
SI RE MA AGRO S.A.,AR*1688616585,AR,es,company
MINISTERIO DE CULTURA Y EDUCACION,AR*190521557429,AR,es,government
FINANCIERA DEL EXTERIOR DEL COMERCIO S.A.,AR*190521557492,AR,es,company
PAMCOR S.A.,AR*190521557606,AR,es,company
GOBIERNO DE LA PROVINCIA DE SANTA FE,AR*190521557609,AR,es,government
NORELEC S.A.,AR*190521557627,AR,es,company
ROEMMERS S.A.I.C. Y F.,AR*190521557730,AR,es,company
GOBIERNO DE LA PROVINCIA DE MISIONES,AR*190521557755,AR,es,government
SATEX S.A.F.,AR*190521558001,AR,es,company
CONGRESO DE LA NACION ARGENTINA,AR*190521558010,AR,es,company
"MINISTERIO DE JUSTICIA, SEGURIDAD Y DERECHOS HUMANOS",AR*190521558172,AR,es,government
BERKLEY INTERNATIONAL ARGENTINA S.A.,AR*190521558324,AR,en,company
MINISTERIO DE INFRAESTRUCTURA VIVIENDA Y SERVICIOS PUBLICOS,AR*190521558344,AR,es,government
COOPERATIVA DE CREDITO VIVIENDA Y CONSUMO LA INDUSTRIAL LIMITADA,AR*190521558379,AR,es,company
FAIGFOR SA,AR*336712853,AR,es,company
CATAPULTA EDITORES SL,AR*337077750,AR,es,company
PETROBAS ENERGIA SA,AR*338646122,AR,es,company
ALADINO S.A.,AR*348282066,AR,es,company
EQUITY TRUST COMPANY SA(ARGENTINA),AR*361045625,AR,en,company
FENDUR SA,AR*471203433,AR,es,company
HORIZON ENERGY L.LC,AR*774837185,AR,en,company
GRUPO BELTRAN,AR*904350769,AR,es,company
NAZCA VENTURES,AR*904643928,AR,en,company
TONY RAPHAEL AND SANDRA RAPHAEL,AR*907296163,AR,en,company
GRUPO ZUCAMOR,AR*908287280,AR,es,company
"BERLIN MAXIMILIANO GUILLERMO, GALLUZZI CARLOS ENRIQUE AND PURVIS SILVINA MARIEL",AR*918501435,AR,es,company
OMAR ALEJANDRO CESARIO AND GRACIELA MARTHA TALLAFERRO,AR*918505076,AR,es,company
"PABLO CARLOS BUELGA, ARMINDA OLGA BURGUÉS AND ANA MARÍA CAMERLO",AR*918505608,AR,es,company
"ENRIQUE MANUEL DEMARCO, JORGE ALBERTO SORBELLINI AND WALTER RICARDO PEREYRA",AR*918505844,AR,es,company
PABLO MARTÍN MASFERRER AND AGUSTÍN MARTÍN MASFERRER,AR*918505911,AR,es,company
MONICA INES HANSEN AND CLAUDIO MARCELO ENRIQUE NIELSEN,AR*918507364,AR,es,company
"MARIANO VIGIL, GUSTAVO RUBÉN HÉCTOR CORRO AND DIEGO MARTÍN COCCO",AR*918510188,AR,es,company
ALEJANDRO GIMÉNEZ AND JOSÉ LEONARDO GIMÉNEZ,AR*918514419,AR,es,company
MERCEDES BEATRIZ BOYE AND CARLOS FERNANDO BOYE,AR*918515985,AR,es,company
MARTINA AYELÉN SARCIAT AND BERNARDO VALENTÍN COLOMBATTO,AR*918518819,AR,es,company
MELO JOSE LUIS AND APOLONIO JUAN EDUARDO,AR*918523386,AR,es,company
SOFIA LORENA HADID AND ADRIAN HAMRA,AR*918523415,AR,es,company
