parent_name,parent_id,parent_city,language,entity_type
MEZHDUNARODNAYA KOMMERCHESKAYA KOMPANIYA MIDOUBRUK PARTNERS LIMITED,BB*110019989463,BB,ru,company
BACTECH (BARBADOS) LTD,BB*110021384321,BB,en,company
ECOFAB COVERS INTERNATIONAL INC,BB*110021559585,BB,en,company
HORIZONS ETFS MANAGEMENT (BARBADOS) INC,BB*110021734148,BB,en,company
TJS LIMITED,BB*110141363893,BB,en,company
AIC (BARBADOS) LIMITED,BB*110144183543,BB,en,company
ALTUN INVESTMENTS INC.,BB*110147992369,BB,en,company
EGLOBAL DRILLING CORP,BB*110148699019,BB,en,company
"MAGNA POWERTRAIN (BARBADOS) CO., LTD.",BB*110164481614,BB,en,company
COLUMBUS NETWORK LIMITED,BB*110195221525,BB,en,company
INTEVA PRODUCTS (BARBADOS) LTD,BB*190521558627,BB,en,company
ARVIN INNOVATION (BARBADOS) LTD,BB*190521558643,BB,en,company
COLUMBUS INTERNATIONAL INC.,BB*190521558713,BB,en,company
UPG (BARBADOS) SRL,BB*190521558751,BB,en,company
MAGNEQUENCH LIMITED,BB*190521558895,BB,en,company
CANWEST INTERNATIONAL COMMUNICATIONS INC.,BB*780044207,BB,en,company
CWC CALA HOLDINGS LIMITED,BB*913536418,BB,en,company
BAKERS CHOICE INC,BB*918615529,BB,en,company
VICTOR MINING LTD.,BB*923090139,BB,en,company
ALERT INVESTMENTS LTD,BB*961025437,BB,en,company
GEOTECH AIRBORNE LIMITED,BB*961027505,BB,en,company
CENTPHIL LIMITED,BB*961028087,BB,en,company
BELGRAVIA & CHELSEA PROPERTY SERVICES,BB*B000030855,BB,en,company
MEDCO VENTURES INTERNATIONAL(BARBADOS),BB*B000034887,BB,en,company
FSHC PROPERTIES (HOLDINGS) LTD,BB*B000054223,BB,en,company
NORTHLAND PROPERTIES HOLDINGS 1 (BARBADO,BB*B000070095,BB,en,company
ROUNDWOOD HOLDINGS LTD,BB*B000077167,BB,en,company
GLOBAL DRUG SUPPLY LTD,BB*B000081255,BB,en,company
PETREA INVESTMENTS LIMITED,BB*D00318547,BB,en,company
MEDICAL ENTERPRISES LTD.,BB*D00321810,BB,en,company
S2BN ENTERTAINMENT (BARBADOS) INC.,BB*D00356976,BB,en,company
SKYLAND HOLDING LIMITED,BB*D00359118,BB,en,company
DUTY FREE CARIBBEAN LTD,BB*L000000019843,BB,en,company
FAIRFAX ASIA LIMITED,BB*L000000021316,BB,en,company
"DAC CHINA DISTRESSED (BARBADOS), SRL",BB*L000000021321,BB,en,company
AVION RESOURCES (MALI) LTD,BB*L000000021423,BB,en,company
MARCUS EVANS ENTERTAINMENT LTD,BB*L000000023043,BB,en,company
ANSA MCAL (BARBADOS) LTD.,BB*S0095320,BB,en,company
RYDER CAPITAL (BARBADOS) SRL,BB1341S,BB,en,company
COOPER GLOBAL HOLDING CO LTD,BB2-166713,BB,en,company
COOPER TIRE INVESTMENT HOLDING (BARBADOS) LTD,BB2-166716,BB,en,company
NEVSUN RESOURCES (ERITREA) LTD,BB2-183403,BB,en,company
ASANKO GOLD (BARBADOS) INC,BB2-199842,BB,en,company
AAVID THERMALLOY CHINA HOLDINGS LIMITED,BB21814C,BB,en,company
EPM HOLDINGS (BARBADOS) INC.,BB26356C,BB,en,company
"WESCAST (BARBADOS) CO., LTD.",BB26850C,BB,en,company
GODDARD ENTERPRISES LIMITED,BB30009WD,BB,en,company
UNGERER (BARBADOS) SRL,BB310S,BB,en,company
MCKINNEY ROGERS TRADING (BARBADOS) LTD,BB31970C,BB,en,company
FCMI CHILEAN HOLDINGS LTD,BB34866C,BB,en,company
SHAN FENG ( BA BA DUO SI ) YOU XIAN GONG SI,BB514S,BB,zh,company
ENERGY INSURANCE MUTUAL LTD,BBFEI1001426,BB,en,company
SAGICOR FINANCIAL CORPORATION,BBFEI1009390,BB,en,company
FAIRFAX (BARBADOS) INTERNATIONAL CORP.,BBLEI27570,BB,en,company
CIDEL BANK & TRUST INC.,BBLEI330535,BB,en,company
PAREX RESOURCES (COLOMBIA) LTD.,BBLEI358299,BB,en,company
GE SEACO SRL (BARBADOS),BBLEI39977,BB,en,company
