parent_name,parent_id,parent_city,language,entity_type
ADAM SA,BD*110141286380,BD,en,company
RASHIDAH AKHTAR AL AALAM,BD*110145956248,BD,ar,individual
TRANSCOM LTD,BD*110190772262,BD,en,company
EC SECURITIES LIMITED,BD*110190772961,BD,en,company
BANGLADESH POWER DEVELOPMENT BOARD,BD*901528464,BD,en,government
SPONSORS,BD*912007077,BD,en,company
KELLYWOOD HOLDINGS LIMITED,BD*915202446,BD,en,company
BANGLADESH PETROLEUM CORPORATION,BD*952060461,BD,en,government
PETROBANGLA,BD*952060565,BD,en,government
INSTITUTE,BD*958083260,BD,en,company
MINISTRY OF FINANCE (GOV'T OF BANGLADESH,BD*B000038974,BD,en,government
BANGLADESH,BD*J00S4074,BD,en,government
EASTERN INSURANCE COMPANY LTD,BD*S00122648,BD,en,company
SUMMIT CORPORATION LIMITED,BD*Z00309289,BD,en,company
BRAC BANK LIMITED,BD18501,BD,en,company
SHAHJALAL ISLAMI BANK LTD,BD18676,BD,en,company
EXPOLANKA INTERNATIONAL (PTY) LTD,BD2-180617,BD,en,company
ADVANCED CHEMICAL INDUSTRIES LIMITED,BD30004FE,BD,en,company
DELTA SPINNERS LIMITED,BD30039FE,BD,en,company
RENATA LTD,BD30066FE,BD,en,company
SQUARE PHARMACEUTICALS LTD,BD30081FE,BD,en,company
BANGLADESH EXPORT IMPORT COMPANY LIMITED,BD30119FE,BD,en,company
BAY LEASING & INVESTMENT LTD,BD30277FE,BD,en,company
M.I. CEMENT FACTORY LTD,BD30336FE,BD,en,company
CITY BANK LTD,BD32744,BD,en,company
IFIC BANK LIMITED,BD37551,BD,en,company
ISLAMI BANK BANGLADESH LIMITED,BD37552,BD,en,company
PUBALI BANK LIMITED,BD43446,BD,en,company
NATIONAL CREDIT AND COMMERCE BANK LTD,BD43899,BD,en,company
UTTARA BANK LIMITED,BD44326,BD,en,company
AL-ARAFAH ISLAMI BANK LTD.,BD44327,BD,en,company
EASTERN BANK LIMITED,BD44897,BD,en,company
SOUTHEAST BANK LIMITED,BD46600,BD,en,company
SOCIAL ISLAMI BANK LTD,BD47202,BD,en,company
BANK ASIA LIMITED,BD49474,BD,en,company
MUTUAL TRUST BANK,BD49475,BD,en,company
MERCANTILE BANK LIMITED,BD49743,BD,en,company
ONE BANK LIMITED,BD49744,BD,en,company
PREMIER BANK LTD (THE),BD49943,BD,en,company
MR. MOHAMMED ABOU BEKER KAMAL,BDCP0001535575,BD,ar,individual
