parent_name,parent_id,parent_city,language,entity_type
SEIYO INDUSTRY INC,BN*110009887011,BN,en,company
"BRUNEI BEIGUANG INVESTMENT CO., LTD.",BN*110135053762,BN,en,company
PRIMARY TECHNOLOGY LTD,BN*110141305988,BN,en,company
WEN LAI DIAN NAO KE JI YOU XIAN GONG SI,BN*740663191,BN,zh,company
YEFEREN SND BHD CO,BN*A0029396213,BN,en,company
ARLITECH CORPORATION,BN*Z00036019,BN,en,company
S I G M A T E C H N O L O G Y I N C,BN*Z00391913,BN,en,company
BRUNEI INVESTMENT AGENCY,BNLEI146483,BN,en,government
BAIDURI HOLDINGS BERHAD,BNRC00002984,BN,en,company
BRUNEI WAFIRAH HOLDINGS SDN BHD,BNRC00007730,BN,en,company 
