parent_name,parent_id,parent_city,language,entity_type
BOLIVIANA DE INVERSIONES S.A.,BO*190521559188,BO,es,company
YACIMIENTOS PETROLIFEROS FISCALES BOLIVIANOS SA,BO*190521559190,BO,es,company
TESORO GENERAL DE LA NACION,BO*918556174,BO,es,government
GRUPO NACIONAL DE INVERSIONES NAVI S.A.,BO*918556694,BO,es,company
COBOCE LTDA,BO*918556774,BO,es,company
FUNDACION PARA ALTERNATIVAS DE DESARROLLO,BO*918637912,BO,es,company
SANTA CRUZ DE LA SIERRA FINANCIAL GROUP S.A.,BO*918637928,BO,es,company
EKAFIN,BO*A0016398945,BO,es,company
PETROLEX SA,BO*B000093642,BO,es,company
BOLIVIA,BO*J00S3020,BO,es,government
TAQUESI BOLIVIA HOLDINGS S.R.L.,BO00011146,BO,es,company
LUZ DEL VALLE INVERSIONES S.A.,BO00011293,BO,es,company
EMPRESA DISTRIBUIDORA DE GAS SUCRE S.A.M.,BO00012990,BO,es,company
ICE INGENIEROS SA,BO00013035,BO,es,company
INVERSIONES BOLIVIAN RAILWAYS S.A.(BOLIVIAN RAILWAYS S.A. FERROCARRIL ANDINA S.A.),BO00013299,BO,es,company
TRENES CONTINENTALES S.A.,BO00013300,BO,es,company
PANAMERICAN INVESTMENTS SA,BO00013430,BO,es,company
NACIONAL SEGUROS PATRIMONIALES Y FIANZAS S.A.,BO00128449,BO,es,company
INVERSIONES DE CAPITAL INVERSOJA S.A.,BO00139772,BO,es,company
CORPORACION DE INVERSIONES B&S  S.A.,BO00191519,BO,es,family_firm
INVERSIONES IKM S.A.,BO00286532,BO,es,company
EMPRESA NACIONAL DE ELECTRICIDAD,BO1023187029,BO,es,government
