parent_name,parent_id,parent_city,language,entity_type
QUADRA INTERNATIONAL INC.,BS*110005674374,BS,en,company
GOLD FIELDS AUSTRALASIA LTD,BS*110021530628,BS,en,company
ORCA GOLD INTERNATIONAL LIMITED,BS*110022359915,BS,en,company
HUGO RESEARCH FOUNDATION,BS*110024300174,BS,en,company
MEZHDUNARODNAYA KOMMERCHESKAYA KOMPANIYA FATIMA VENCHERS LTD.,BS*110136694556,BS,ru,company
KOMPANIYA AVRORA SEKYURITIZ TREIDING INK.,BS*110136828235,BS,ru,company
BATTERSEA INVESTMENT LIMITED,BS*110136887126,BS,en,company
POSINA HOLDING LTD,BS*110140733615,BS,en,company
PHA HOLDING COMPANY LTD,BS*110140893489,BS,en,company
INTERNATIONAL EXCHICIBITION SERVICES CO LTD,BS*110141228172,BS,en,company
KOMPANIYA MELTEMI INVESTMENTS S.A. (MELTEMI INVESTMENTS S.A.),BS*110148075903,BS,ru,company
KOMP ARKOR KHOLDINGZ INK.,BS*110155145302,BS,ru,company
MEZHDUNARODNAYA KOMMERCHESKAYA KOMPANIYA MULTITRON ENTERPRAIZES LIMITED,BS*1317988025,BS,ru,company
BALUMA HOLDING S.A.,BS*190521565453,BS,en,company
MIHALCEA - CALINESCU SILVIU - BOGDAN,BS*554799205,BS,en,company
BENDIX CORP. NASSAU/BAHAMAS,BS*58593,BS,en,company
KOMP UELFEAR MENEDZHMENT KORP,BS*602063962,BS,ru,company
AO MARLBORO ISTEITS LIMITED,BS*611412726,BS,ru,company
TREBOL SAPPLAI LIMITED,BS*617305535,BS,en,company
TOO CHAH LIMITED,BS*690116089,BS,en,company
COMMUNICATION POWER SYSTEMS LTD.,BS*847898171,BS,en,company
CITIGROUP VENTURE CAPITAL INTERNATIONAL ASIA PACIFIC LIMITED,BS*901166241,BS,en,company
JV MARKO LTD,BS*923237736,BS,en,company
ST GEORGES GROUP OF HOTELS LTD,BS*B000012765,BS,en,company
"HERMES TRUST COMPANY LIMITED,",BS*B000013100,BS,en,company
MARA HOLDINGS LTD,BS*B000021626,BS,en,company
CIMONA LTD,BS*B000032487,BS,en,company
PARMED INVESTMENTS LTD,BS*B000039528,BS,en,company
LONGMEAD CORP,BS*B000041088,BS,en,company
BRITISH FINANCE & INVESTMENT CO LTD,BS*B000045639,BS,en,company
WYSTAN HOLDINGS INC,BS*B000049808,BS,en,company
PS HOLDINGS LTD,BS*B000055002,BS,en,company
BARZAN LIMITED,BS*B000055021,BS,en,company
POCHTECA (TCI) LTD,BS*B000055946,BS,en,company
INNKEEPER LTD,BS*B000071059,BS,en,company
OFM HOLDINGS LTD,BS*B000078162,BS,en,company
CARLO PACIFIC LTD,BS*B000087719,BS,en,company
ZYON LTD,BS*B000097483,BS,en,company
SILVER ARROWS MARINE (HOLDINGS) LTD,BS*B000098522,BS,en,company
BATREKS LIMITED,BS*F00108482,BS,en,company
BAHAMAS,BS*J00S3531,BS,en,government
HERBION INTERNATIONAL INC.,BS*L000000023257,BS,en,company
"XINRUI DEVELOPMENT CO., LTD.",BS*Z00314185,BS,en,company
SALT SHAKER LTD,BS0440115485600000,BS,en,company
ELLE DUE GROUP LTD.,BS0440132561600000,BS,en,company
GPA S A,BS0440135061300000,BS,en,company
BIGUEI TRUST,BS0443917258100000,BS,en,company
FRUIT SHIPPERS LIMITED,BS1041B,BS,en,company
MORLAN ASSOCIATES LTD,BS105249B,BS,en,company
GIVEX CORP.,BS107508B,BS,en,company
AMMONITE HOLDINGS LTD,BS110145B,BS,en,company
PARTHENON INVESTMENTS LIMITED,BS111013B,BS,en,company
TRANSCOM LIMITED,BS113699B,BS,en,company
ENIC INTERNATIONAL LTD,BS117549B,BS,en,company
VOLCAN INVESTMENTS LIMITED,BS11772B,BS,en,company
MODUS INTERNATIONAL (TWO THOUSAND) INC,BS119626B,BS,en,company
LONDON DEVELOPMENT HOLDINGS LIMITED,BS121996B,BS,en,company
MEZVIEW COMPANY LIMITED,BS122213B,BS,en,company
FLOWGAB LIMITED,BS122634B,BS,en,company
CENTRAL ASIA GOLD LIMITED,BS123257B,BS,en,company
FELDMANS SERVICES LIMITED,BS124870B,BS,en,company
CIT HOLDINGS LIMITED,BS125429B,BS,en,company
ESPIRITO SANTO RESOURCES LIMITED,BS125841B,BS,en,company
NADAL INVESTMENTS LTD,BS127278B,BS,en,company
CITI OVERSEAS INVESTMENTS BAHAMAS INC,BS127914B,BS,en,company
RENOVA HOLDING LTD,BS128177B,BS,en,company
RUDDERSBURG INVESTMENTS LIMITED,BS128292B,BS,en,company
LYNWOOD CAPITAL MANAGEMENT FUND LIMITED,BS128530B,BS,en,company
FINANCESTREAM LTD,BS129541B,BS,en,company
FINETHIC LIMITED,BS129892B,BS,en,company
URION WORLDWIDE INVESTMENTS LIMITED,BS130164B,BS,en,company
PUMA AFRICA HOLDINGS S.A,BS131528B,BS,en,company
