parent_name,parent_id,parent_city,language,entity_type
LES TISSERANDS COMPAGNIE D'ASSURANCE,CI*110000841741,CI,fr,company
SIVOM SA - STE IVOIRIENNE D'OPERATIONS MARITIMES SA,CI*110000850386,CI,fr,company
PLO KOUE JEAN BAPTISTE,CI*110013254176,CI,fr,individual
MISHRA SHRISTINARAYAN SAMBHHOONATH,CI*110022365764,CI,en,individual
HERITIERS FAECK JABER,CI*110022365776,CI,fr,individual
LAMINE KONE,CI*110022365784,CI,fr,individual
KAMAL RAMCHAND DASWANI,CI*110022365797,CI,en,individual
ALI HOJEIJ,CI*110022365823,CI,ar,individual
HABIB ADOU,CI*110022365862,CI,fr,individual
WAI SHUN FREDERIC LIOUG LAM,CI*110022365867,CI,fr,individual
ALI MAHMOUD CHOUR,CI*110022365884,CI,ar,individual
IBRAHIM SHARAFFDEEN,CI*110139809945,CI,ar,individual
AHMED HOBALLAH,CI*110150211065,CI,ar,individual
M HAMDAN HASSAN,CI*1151844856,CI,ar,individual
THIAM IBRAHIM ABDEL MALICK,CI*555528211,CI,fr,individual
COTE D'IVOIRE,CI*J00S5300,CI,fr,government
LIBRAIRIE DE FRANCE GROUPE SA,CI0000020756,CI,fr,company
EUROFIND PARTICIPATIONS SA,CI0000020858,CI,fr,company
SIFCA S.A.,CI0000020965,CI,fr,family_firm
INDUSTRIAL PROMOTION SERVICES (WEST AFRICA) SA,CI0000021027,CI,en,company
MAS GROUP MAGNIFIC-A-SERVICE COTE D'IVOIRE S.A.,CI0000021153,CI,fr,family_firm
NSIA PARTICIPATIONS SA,CI0000021255,CI,fr,company
SOCIÉTÉ NATIONALE D`OPÉRATIONS PÉTROLIÈRES DE CÔTE D`IVOIRE,CI0000021483,CI,fr,government
YESHI GROUPE COTE D'IVOIRE SARL,CI0000022616,CI,fr,family_firm
COTE D'IVORE PLASTIQUE SARL,CI0000022858,CI,fr,company
SIECMI SARL - STE IVORIENNE D'ELECTRO- NIQUE MARITIME ET INDUSTRIELLE SARL,CI0000025528,CI,fr,company
FRAGECI S A,CI0000027203,CI,fr,family_firm
SOCIETE INTERNATIONALE DE TECHNOLOGIE GROUPE S.A.,CI0000036248,CI,fr,company
AGRONOMIX S.A.,CI0000130992,CI,fr,company
SNEDAI GROUPE S.A.,CI0000131712,CI,fr,company
"BANQUE ATLANTIQUE DE COTE D'IVOIRE, SA",CI45031,CI,fr,company
NIAMOUTIE KOUAO,CIPPNMTKOU55H05Z313T,CI,fr,individual
