parent_name,parent_id,parent_city,language,entity_type
BLUE INTERNATIONAL GMBH,DM*110014713764,DM,de,company
ADVANTEK SERVIS LTD.,DM*110019590098,DM,ru,company
KOMPANIYA LYABIKHOV GRUP LIMITED (LYABIKHOV GROUP LIMITED),DM*110019642139,DM,ru,company
MOLBERG SERVISES LTD.,DM*110019708001,DM,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU TAIGER YUTILITIZ,DM*110019727386,DM,ru,company
FASTECH MARKETING LTD,DM*110019964462,DM,en,company
ELTERA BIZNES LTD.,DM*110019971897,DM,ru,company
BEIFORT TREIDING LTD.,DM*110019989677,DM,ru,company
PANAMERICAN FUNDS LTD.,DM*110020151025,DM,en,company
BRAIONI ESSETS INK,DM*110136724812,DM,ru,company
AKTSIONERNAYA KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU MATRIKS LIZING LTD.,DM*110136744359,DM,ru,company
DANSTOUN BIZNES LTD,DM*110136769772,DM,ru,company
UAITBELL GLOBAL KORP,DM*110138029854,DM,ru,company
LITTON EDZHENSI KORP.,DM*110141694106,DM,ru,company
KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU AKTSIONEROV EMPORIO DEVELOPMENT LTD,DM*110148077529,DM,ru,company
MEZHDUNARODNAYA KOMMERCHESKAYA KOMPANIYA OVERSIS PROMOUSHN LTD.,DM*110148077982,DM,ru,company
KOMPANIYA METALS INVEST INK.,DM*110155132212,DM,ru,company
O ADELANTE KORPOREISHN INK.,DM*110155149551,DM,ru,company
KOMPANIYA NYUMARKETS INK.,DM*1300940333,DM,ru,company
KOM P OGRANICHENNAYA AKTSIYAMI KORP KHARRIS BREM RUS,DM*1303575367,DM,ru,company
SKAIUORLD LIMITED (SKYWORLD LIMITED),DM*1310394287,DM,ru,company
KOMPANIYA NVK200 INTERNATIONAL LTD. (NVK200 INTERNESHNL LTD.),DM*1311173440,DM,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU KUESTA KORPOREISHN,DM*1311721691,DM,ru,company
NYU INVESTMENT KOMPANI LTD,DM*1330564741,DM,ru,company
AKTSIONERNAYA KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU FINASTA LTD,DM*1341204391,DM,ru,company
SIEMENS SOLUTIONS LTD,DM*190521570663,DM,en,company
PROBUCO LTD.,DM*490861900,DM,en,company
KOMPANIYA S OO PO AKTSIYA MADZHINKO INK.,DM*611252952,DM,ru,company
INVESTMENTS AND DEVELOPMENT INC,DM*611792365,DM,en,company
STARVORT LIMITED,DM*612106039,DM,en,company
BRACKEN ENTERPRISES LTD,DM*616688388,DM,en,family_firm
BRITISH INVEST LIMITED & CAPTHALL,DM*839251615,DM,en,company
FLORIAN TRADING HOUSE INC,DM*B000050569,DM,en,company
OLTA GROUP LTD,DM*B000085169,DM,en,family_firm
TRENDMAX INC,DM*B000093876,DM,en,company
JR WORLDWIDE LTD,DM*D00386256,DM,en,company
M-GROUP SA,DM*L000000019777,DM,en,company
VICINITY INVESTMENTS INC,DM81420000,DM,en,company
