parent_name,parent_id,parent_city,language,entity_type
KOMPANIYA KOOPMANSCHAP,DO*1316840608,DO,en,company
BURNAC PRODUCE LIMITED,DO*190521570690,DO,en,company
CEPM ENERGY LTD,DO*190521570694,DO,en,company
SOCIEDAD INDUSTRIAL DOMINICANA C. POR A.,DO*190521570907,DO,es,company
ABRISA S.A.,DO*190521570930,DO,es,company
WILLEN CONSULT LTD,DO*560190443,DO,en,company
GRUPO NAJRI,DO*921358473,DO,es,company
DOMINICAN REPUBLIC,DO*J00S3080,DO,en,government
GRUPO CORRIPIO,DO*Z00211691,DO,es,family_firm
RON BARCELO,DO11353SDQ,DO,es,company
"GRUPO BHD, S.A.",DO11440SDQ,DO,es,family_firm
GO DE REPUBLICA DOMINICANA,DO15317SDQ,DO,es,government
"LA COLONIAL SA, COMPANIA DE SEGUROS",DO19702SDQ,DO,es,company
EMPRESA DISTRIBUIDORA DE ELECTRICIDAD DEL ESTE,DO20706SDQ,DO,es,company
INVERSIONES HUCOC,DO23526SDQ,DO,es,company
DAABON INTERNACIONAL,DO24094SDQ,DO,es,company
SANTO DOMINGO MOTORS COMPANY,DO288SDQ,DO,en,company
GRUPO POPULAR SA,DO3259SDQ,DO,es,family_firm
PLANTACIONES DEL NORTE,DO37577SDQ,DO,es,company
GRUPO FINANCIERO VIMENCA,DO93098SDQ,DO,es,family_firm
FAMILIA ALCANTARA YOLEMNY,DOPPFMLYMN83T42Z505Y,DO,es,individual
