parent_name,parent_id,parent_city,language,entity_type
DISTRIBUIDORA ELECTRICA CENTROAMERICANA DOS II S.A.,GT*190521573648,GT,es,company
DISTRIBUIDORA AGRICOLA GUATEMALTECA S.A.,GT*190521573655,GT,es,company
GRUPO FINANCIERO BANRURAL,GT*918643854,GT,es,company
GRUPO IF,GT*918659945,GT,es,company
GRUPO FINANCIERO AGROMERCANTIL,GT10091,GT,es,company
BANCO DE LOS TRABAJADORES,GT114668A333,GT,es,company
PROTECCION DE VALORES,GT1433538671,GT,es,company
VIVIBANCO SA,GT151030A141115,GT,es,company
ORGANIZACION TEIDE,GT1725159,GT,es,company
"FINANCIERA DE OCCIDENTE, SA",GT1795718785,GT,es,company
CERVECERIA CENTRO AMERICANA,GT1901901,GT,es,company
ANIXTER GUATEMALA Y COMPANIA LTDA,GT2-141670,GT,es,company
GRUPO FINANCIERO G&T CONTINENTAL,GT21704,GT,es,company
TRENTO,GT24614314102,GT,es,company
ADMINISTRADORA DE VALORES DE GUATEMALA,GT26876106107,GT,es,company
"ALIMENTOS, S.A.",GT30001LG,GT,es,company 
