parent_name,parent_id,parent_city,language,entity_type
MARCUS JAMES H.,JM*110143855360,JM,en,individual
RESOURCE IN MOTION LIMITED,JM*110190891939,JM,en,company
CAC CARIBBEAN LTD,JM*110293240062,JM,en,company
SUMINOE TEXTILE LTD,JM*919117846,JM,en,company
JAL INVESTMENTS LTD,JM*B000053258,JM,en,company
JAMAICA LIVESTOCK ASSOCIATION LIMITED (THE),JM1070L,JM,en,government
RADIO JAMAICA LIMITED,JM1372L,JM,en,government
CHANG BROTHERS LTD.,JM1450L,JM,en,family_firm
JAMAICA BROILERS GROUP LIMITED,JM2497L,JM,en,company
VICTORIA MUTUAL BUILDING SOCIETY,JM32622,JM,en,company
ICD GROUP LIMITED,JM3584L,JM,en,company
RUSSGRAM INVESTMENTS LTD.,JM3663L,JM,en,company
GRACEKENNEDY LIMITED,JM384L,JM,en,family_firm
MUSSON (JAMAICA) LIMITED,JM3917L,JM,en,family_firm
JAMAICA MONEY MARKET BROKERS LIMITED,JM44615L,JM,en,government
JAMAICA NATIONAL BUILDING SOCIETY,JM46928,JM,en,government
PULSE INVESTMENTS LIMITED,JM46952L,JM,en,company
JAMAICAN TEAS LIMITED,JM5772L,JM,en,company
DERRIMON TRADING COMPANY LIMITED,JM60706L,JM,en,family_firm
JMMB GROUP,JM6649/2015,JM,en,company
FIRST GLOBAL HOLDINGS LIMITED,JM71531L,JM,en,company
K.L.E. GROUP LIMITED,JM76837L,JM,en,family_firm
1834 INVESTMENTS LIMITED,JM84L,JM,en,company
JAMAICA PRODUCERS GROUP LIMITED,JM850L,JM,en,company
SAGICOR GROUP JAMAICA LTD,JM86447L,JM,en,company
