parent_name,parent_id,parent_city,language,entity_type
AHMAD JAMAL ALI MAHMOUD,JO*110006943607,JO,ar,individual
KAMAL AHMAD MOHAMMAD ALZGOOL,JO*110013274088,JO,ar,individual
MR. SAMEEH GHAZI QUSAIFI,JO*110014912996,JO,ar,individual
GHOUSHEH ALA ABDELRAZZAQ AHMAD,JO*110137190328,JO,ar,individual
GHALEB FAREED ABED ALHALEEM ALJAGHBEIR,JO*110137191015,JO,ar,individual
MAWASEM AL KHAIR FOR FOODSTUFF,JO*110140537306,JO,ar,company
MR. AMJAD ABDULRAZZAK AL HAMDAN,JO*110140669203,JO,ar,individual
NAYFEH HAZAH ABU SETTAH,JO*110145968678,JO,ar,individual
NATIONAL POULTRY COMPANY PSC,JO*110154840132,JO,en,company
AHMAD ABDEL RAZZAK GHOSHEH,JO*1881006526,JO,ar,individual
"SC ""AYLA INVESTMENT"" SRL",JO*18968701,JO,en,company
SULEIMAN S. M. AL TAWAY'AH,JO*550469080,JO,ar,individual
ATA T. H. OTHMAN,JO*550538884,JO,ar,individual
AHMAD SALEM MERZOOQ ALSHURMAN,JO*550834684,JO,ar,individual
ABDEL RAHMAN-SULIMAN MOH'D ABU SAMAK,JO*552581073,JO,ar,individual
MOH'D KHER TAHER IBRAHIM JEITAN,JO*554289947,JO,ar,individual
SADDIQ OMAR H. ABU SEEDO,JO*554448460,JO,ar,individual
SALEEM EQAB MUFADI AL ZUBI,JO*554789963,JO,ar,individual
BASEM AHMAD (ALHAJ HASAN) AYYOUB,JO*557652347,JO,ar,individual
BASEM AHMAD (ALHAJ HASAN) AYYOUB,JO*557652805,JO,ar,individual
BASEM AHMAD (ALHAJ HASAN) AYYOUB,JO*557718541,JO,ar,individual
REZEQ MOHD IBRAHIM ODEH,JO*557730407,JO,ar,individual
OTHER NATURAL PERSONS (1),JO*613538624,JO,en,individual
AL RAFIDAIN FOR PROJECTS DEVELOPMENT COMPANY,JO*905132512,JO,ar,company
CTI GROUP INCORPORATED,JO*915336808,JO,en,company
GOVERNMENT CONTRIBUTIONS MANAGEMENT COMPANY,JO*939033457,JO,en,government
SAYEGH GROUP,JO*939034725,JO,ar,company
JOINT INVESTMENT TELECOMMUNICATIONS LTD,JO*E001084786,JO,en,company
AL RASHAD INDUSTRIAL INVESTMENTS COMPANY,JO*Z00007358,JO,ar,company
ISLAMIC UNION INVESTMENT COMPANY,JO*Z00251409,JO,ar,company
AL EQBAL INVESTMENT CO. PLC,JO0000008003,JO,ar,company
FINE HYGIENIC PAPER COMPANY LTD,JO0000008004,JO,en,company
