parent_name,parent_id,parent_city,language,entity_type
CHI I THI PHLAT CHAMKAT,KE*110000752792,KE,en,company
SOUTHERN CROSS SAFARIS MOMBASA LTD,KE*110021685952,KE,en,company
MOHAMED HASSANALI JANMOHAMED,KE*1882334120,KE,en,individual
KENYA ALUMINIUM & INDUSTRIAL WORKS LIMITED,KE*190521574746,KE,en,company
JIBRIL ABDI RASHID HOMAMUD,KE*557647775,KE,en,individual
MWALIMU CO-OPERATIVE SAVINGS AND CREDIT SOCIETY LTD,KE*917124436,KE,en,company
SAMEER INVESTMENTS LTD,KE*B000065729,KE,en,company
OL PEJETA CONSERVANCY LIMITED,KE*D00340987,KE,en,company
KENYA,KE*J00S5310,KE,en,government
ENCOMM LTD,KE*Z00234952,KE,en,company
ALTECH STREAM EAST AFRICA LTD,KE2-17819,KE,en,company
CO-OPERATIVE INSURANCE SOCIETY LTD,KE2-180922,KE,en,company
KOFINAF COMPANY LTD,KE2-181176,KE,en,company
ETCOVILLE HOLDINGS LTD,KE2-181181,KE,en,company
INDUSTRIAL PROMOTION SERVICES (KENYA) LTD,KE2-181819,KE,en,company
NATIONAL TREASURY KENYA,KE2-190114,KE,en,government
CO-OPHOLDINGS CO-OPERATIVE SOCIETY LTD,KE2-24379,KE,en,company
HUBRIS HOLDINGS LTD,KE2-831,KE,en,company
FAMILY BANK LIMITED,KE27750,KE,en,company
BAMBURI CEMENT LIMITED,KE30003KK,KE,en,company
ARM CEMENT LIMITED,KE30006KK,KE,en,company
CENTUM INVESTMENT COMPANY PLC,KE30008KK,KE,en,company
KENOLKOBIL LIMITED,KE30009KK,KE,en,company
CMC HOLDINGS LTD,KE30017KK,KE,en,company
WPP SCANGROUP LIMITED,KE30027KK,KE,en,company
UNILEVER TEA KENYA LIMITED,KE30029KK,KE,en,company
CAR AND GENERAL KENYA LIMITED,KE30031KK,KE,en,company
CARBACID INVESTMENTS PLC,KE30040KK,KE,en,company
OLYMPIA CAPITAL HOLDINGS LTD,KE30047KK,KE,en,company
HOME AFRIKA LIMITED,KE30065KK,KE,en,company
STANLIB FAHARI I-REIT,KE30069KK,KE,en,company
DEACONS (EAST AFRICA) PLC,KE30071KK,KE,en,company
KCB GROUP LIMITED,KE31292,KE,en,company
EQUITY GROUP HOLDINGS LIMITED,KE40934,KE,en,company
NIC BANK LIMITED,KE44472,KE,en,company
DIAMOND TRUST BANK KENYA LIMITED,KE44494,KE,en,company
STANBIC HOLDINGS PLC,KE45086,KE,en,company
CHASE BANK (KENYA) LIMITED,KE46877,KE,en,company
HF GROUP LIMITED,KE47177,KE,en,company
I&M HOLDINGS LIMITED,KE51164,KE,en,company
WAGEMA LIMITED,KEBN10824,KE,en,company
KENYA COMMERCIAL BANK LIMITED,KEBN505484,KE,en,company
KARIKI LIMITED,KEC10-2007,KE,en,company
SILAFRICA LIMITED,KEC105127,KE,en,company
LEMTON HOLDINGS LIMITED,KEC105313,KE,en,company
SUNFLAG PROPERTY INVESTMENTS LIMITED,KEC106255,KE,en,company
ORBIT CHEMICALS INDUSTRIES LIMITED,KEC10798,KE,en,company
CONSUMER INSIGHT AFRICA LIMITED,KEC109511,KE,en,company
OASIS PROPERTY LIMITED,KEC110509,KE,en,company
ERDEMANN HOLDINGS LTD,KEC113598,KE,en,company
SUNSHINE EDUCATIONAL LIMITED,KEC113962,KE,en,company
FUSION CAPITAL LIMITED,KEC115970,KE,en,company
CAPITAL HILL INVESTMENTS LIMITED,KEC116977,KE,en,company
KAMASE HOLDINGS LTD,KEC119844,KE,en,company
KAVAMA LIMITED,KEC121795,KE,en,company
MJ GROUP LIMITED,KEC126727,KE,en,company
AMANA HOLDINGS LIMITED,KEC127221,KE,en,company
THE PROTON GROUP LIMITED,KEC145014,KE,en,company
AFRICA REIT LIMITED,KEC146751,KE,en,company
ASL LIMITED,KEC14939,KE,en,company
PINNACLE GROUP LTD,KEC151622,KE,en,company
KENYA AIRWAYS LTD,KEC15300,KE,en,company
WAKINI LIMITED,KEC156790,KE,en,company
MOBICOM AFRICA LIMITED,KEC166991,KE,en,company
RAI INVESTMENTS LTD,KEC17335,KE,en,company
UCHUMI SUPERMARKETS LIMITED,KEC1976,KE,en,company
BUNSON TRAVEL SERVICE LTD,KEC2187,KE,en,company
PRIME INVESTMENTS LIMITED,KEC21934,KE,en,company
