parent_name,parent_id,parent_city,language,entity_type
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU ELKAT,KG*110138030964,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STROISERVICE. COM (STROISERVIS. KOM),KG*110148077537,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STROISERVICE.COM (STROISERVIS. KOM),KG*110150167509,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVESTVENNOSTYU LIGHT SERVICE (LAIT SERVIS),KG*110150167616,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU LIGHT SERVICE (LAIT SERVIS),KG*110150167887,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU KETTA,KG*110150167988,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU LIGHT SERVICE (LAIT SERVIS),KG*110150169725,KG,ru,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU INTERNESHNL MENEDZHMENT KOMPANI,KG*110155142294,KG,ru,company
DASTAN TRANSNATSIONALNAYA KORPORATSIYA OAO,KG*190521574960,KG,ru,family_firm
SEVEN WELLS OOO,KG*904519383,KG,en,company
FOND PO UPRAVLENIYU GOSUDARSTVENNYM IMUSHCHESTVOM PRI PRAVITELSTVE RESPUBLIKI KYRGYZSTAN,KG*904596488,KG,ru,government
MINISTERSTVO GOSSUDARSTVENNOGO IMUSHCHESTV KR,KG*927145023,KG,ru,government
KYRGYZSTAN,KG*J00S1640,KG,en,government
DORUS OSOO,KG*Z00079962,KG,en,company
CHAKANG ES OPEN JOINT STOCK COMPANY,KG40022OY,KG,en,family_firm
