parent_name,parent_id,parent_city,language,entity_type
KMBPLUS HOLDING LLC,KN*110009278642,KN,en,company
SUNRISE BUSINESS SERVICES LIMITED,KN*110010023544,KN,en,company
WEST CONSULTING GROUP LTD.,KN*110014707914,KN,en,company
BOND STREET HOLDINGS LTD,KN*110019585524,KN,en,company
SPRINGDEIL FAINENS LTD.,KN*110019790744,KN,en,company
VENDOVER KHOLDINGZ LIMITED,KN*110019938067,KN,en,company
KELMONT ENTERPRAIZES LIMITED,KN*110019961170,KN,en,company
KOMPANIYA KESSNIK S.A.,KN*110020069597,KN,ru,company
ENGAGING MINERALS LLC,KN*110021822650,KN,en,company
TRASTINVEST LTD.,KN*110136688662,KN,en,company
UOTERFOL PROMOUSHNS,KN*110136867172,KN,en,company
NYU SITI INVESTMENTS LTD.,KN*110136875407,KN,en,company
FIRST OVERSEAS LLC,KN*110137950757,KN,en,company
KOMPANIYA BATTONVUD LIMITED,KN*110138032160,KN,ru,company
ASEAN INTERNATIONAL LTD,KN*110145914512,KN,en,company
CENTRAL EUROPEAN FURNISHINGS LIMITED,KN*110151627786,KN,en,company
MEZHDUNARODNAYA KORPORATSIYA MAINKO LIMITED,KN*1310734279,KN,ru,company
"KOMPANIYA KLARK GRUP, LTD",KN*1315173043,KN,ru,company
SPRINGDEIL FAINENS LTD,KN*1316355909,KN,en,company
LABRADOR LTD.,KN*1317017657,KN,en,company
GABLES HOLDINGS LIMITED,KN*1324019552,KN,en,company
"KOMPANIYA GANADO TREID, INK.",KN*1324907843,KN,ru,company
RADCOVE LTD (REDKOUV LTD),KN*1324916158,KN,en,company
GOVERNMENT OF ST. CHRISTOPHER,KN*190521475444,KN,en,government
HARVEST REAP LIMITED,KN*190521575001,KN,en,company
CAMEO PROPERTIES LLC,KN*190521575018,KN,en,company
ZIBA LEISURE LIMITED,KN*190521575026,KN,en,company
ESTERSON ENTERPRISES S.A,KN*190521575030,KN,en,company
VAOS HOLDINGS LIMITED,KN*222683002,KN,en,company
"ZAMEK ZINKOVY, LLC",KN*490585721,KN,en,company
"IEM, LLC",KN*490810860,KN,en,company
UKBAR ASSOCIATES LTD,KN*531256137,KN,en,company
GLENBROOK PARTICIPATIONS LIMITED,KN*531633263,KN,en,company
KOMPANIYA METRA KHOLDINGS LIMITED,KN*602745059,KN,ru,company
KOMP FORVARD INVESTMENTS LTD,KN*606771887,KN,ru,company
RUGGERO LIMITED,KN*611250787,KN,en,company
KORPORATSIYA KONTREID LIMITED,KN*611408961,KN,ru,company
ROSWELL LIMITED,KN*611581539,KN,en,company
MANATI NAVIGEISHN S.A.,KN*618749176,KN,en,company
BLUERIBBON LIMITED,KN*780149838,KN,en,company
G INVESTMENTS LTD.,KN*845532240,KN,en,company
PRIMEFIELD CAPITAL LTD,KN*908287690,KN,en,company
BLUE WATER SHIPPING COMPANY LTD,KN*961023459,KN,en,company
ABOLGHASEM EMAM MUSAVI,KN*961028546,KN,en,individual
IMMOBAU-ZURICH LIMITED,KN*961034628,KN,en,company
"MAVERICK, LLC",KN*984000337,KN,en,company
CAPITAL TRUST HOLDINGS INC,KN*B000007168,KN,en,company
MERRYDOWN LIMITED,KN*B000041771,KN,en,company
INTERNATIONAL REALTORS INC,KN*B000044285,KN,en,company
ERIDAN INVESTMENT LTD,KN*B000046391,KN,en,company
AURELIAN SECURITIES,KN*B000046675,KN,en,company
AZTEC HOLDINGS LTD,KN*B000050439,KN,en,company
ACORN RESEARCH LTD,KN*B000057281,KN,en,company
LOCUS GROUP LLC,KN*B000058934,KN,en,company
SALTHORSE INVESTMENTS LTD,KN*B000061697,KN,en,company
REDBURN INVESTMENTS LTD,KN*B000061894,KN,en,company
GREENWOOD INC,KN*B000065025,KN,en,company
STARWELL INTERNATIONAL LTD,KN*B000066910,KN,en,company
ARMOX TRUST,KN*B000068906,KN,en,company
MERCANTILE INVESTMENT HOLDINGS SA,KN*B000073289,KN,en,company
ISOLEX MANAGEMENT INC,KN*B000085390,KN,en,company
OUTDOOR LIFE-STYLE HOLDINGS LTD,KN*B000086625,KN,en,company
FINCH INVESTMENTS LIMITED (NEVIS),KN*B000086919,KN,en,company
GEMO GROUP INVESTMENT CORP,KN*B000093956,KN,en,company
FIDELIS TRADING INTERNATIONAL LIMITED,KN*L000000019934,KN,en,company
IAP TRUSTEES LIMITED,KN*Q0007745466,KN,en,company
THE ANGEL HOLDING LTD,KNNIF980460883,KN,en,company
