parent_name,parent_id,parent_city,language,entity_type
SAMSUNG SDI CO., LTD,KP*110144510092,KP,en,family_firm
SAMSUNG ELECTRONICS CO LTD,KP*110150706758,KP,en,family_firm
HYUNDAI MERCHANT MARINE CO LTD,KP*110150706826,KP,en,family_firm
GAINTECH CO LTD,KP*110150706837,KP,en,company
CHEIL WORLDWIDE INC,KP*110150706973,KP,en,company
BOBAEK C&S CO., LTD,KP*110154119585,KP,en,company
BIONET CO. LTD.,KP*110154314522,KP,en,company
DOOSAN INDUSTRIAL VEHICLE CO. LTD.,KP*110154343383,KP,en,family_firm
POSCO DAEWOO CORPORATION,KP*110154377521,KP,en,government
LG HAUSYS LTD.,KP*110154377681,KP,en,family_firm
GM KOREA COMPANY,KP*110154382854,KP,en,company
HYUNDAI ENGINEERING & CONSTRUCTION COMPANY LTD,KP*110155126427,KP,en,family_firm
HYUNDAI ENGINEERING & CONSTRUCTION COMPANY LTD,KP*110155127049,KP,en,family_firm
TERA RESOURCE CO.., LTD,KP*110155142595,KP,en,company
SAMSUNG ELECTRONICS CO., LTD.,KP*110155150632,KP,en,family_firm
YOUNG KEU CHA,KP*901701907,KP,ko,individual
VNESHNESTROITELNOE OBSHCHESTVO PKHOTONGAN PRI MINISTERSTVE STROITELSTVA I PROMYSHLENNOSTI STROIMATERIALOV KNDR,KP*F0001,KP,ru,government
