parent_name,parent_id,parent_city,language,entity_type
QEVERIA E REPUBLIKES SE KOSOVES,KV*110001488688,KV,sq,government
BKT,KV*110001488698,KV,sq,company
QEVERIA E KOSOVES,KV*110001488741,KV,sq,government
"CERKINAJ, DIAMANT",KV*110013387814,KV,sq,individual
AGJENCIA KOSOVARE E MIREBESIMIT,KV*110023120836,KV,sq,government
RICHMORT TRANSPOORTEISHN LTD,KV*110140719751,KV,en,company
AO KONPAP,KV*110141688722,KV,sq,company
TAUER INVESTMENTS LIMITED,KV*110141695467,KV,en,company
KOMP AGRIMATKO LIMITED,KV*110141695500,KV,en,company
KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU METROPORT LIMITED,KV*110141695706,KV,ru,company
TOY KIDMARKET MANAGEMENT LIMITED,KV*110141695838,KV,en,company
KOMPANIYA FORATEK INVESTMENTS LIMITED,KV*110141696097,KV,ru,company
WIRENET INVESTMENTS LIMITED,KV*110141696387,KV,en,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VORLDTREID EKSPORT-IMPORT-VARENKHANDELSGEZELSHAFT M.B.KH,KV*110143716954,KV,ru,company
KOMPANIYA OGRANICHENNOI OTVETSTVENNOSTI KRAUN NIDERLANDS INVESTMENTS B.V.,KV*110143717847,KV,ru,company
"KOMPANIYA S OGRANICHENNOI OTVETSTVENNOSTYU VARDAR LIMITED , KARAISKAKI,6 SITI KHAUS, 3032, LIMASOL, KIPR",KV*110143721699,KV,ru,company
KOSOVO TRUST AGENCY,KV*1800001678,KV,en,government
MABETEX PROPERTIES SH.A.,KV*1800012973,KV,sq,company
KOSOVO,KV*J00S1328,KV,en,government
LESNA SH.P.K.,KV70036330,KV,sq,company
YLLI - BEC SH.P.K.,KV70182966,KV,sq,company
KOSOVA INVEST A.G.,KV70211933,KV,sq,company
BALI CAPITAL,KV70382283,KV,en,company
UDARNIKKOMERC,KVRS09050817,KV,sq,company 
