parent_name,parent_id,parent_city,language,entity_type
P. L. CHULASENA JINADASA,LK*1050006741,LK,en,individual
EMPLOYEES PROVIDENT FUND BOARD,LK*110000551003,LK,en,government
WICKRAM MOHANLAL AMALEAN,LK*110001228351,LK,en,individual
DINUSHAN NUWAN KUMARA WANNIARACHCHI,LK*110009767591,LK,en,individual
RASIKA THEEKSHANA PERERA MAKAVITAGE,LK*110014508520,LK,en,individual
L. PREMAL MENDIS,LK*110014877932,LK,en,individual
CEAT-KELANI HOLDINGS COMPANY (PVT.) LIMITED,LK*110021263120,LK,en,company
ASIA 2000 INVESTMENTS INC,LK*110190920270,LK,en,company
EM.DZH.EF.TIZ (PRAIVET) LIMITED,LK*1309777348,LK,en,company
TSEILON TI BZHGZ (PVT) LTD,LK*1332206269,LK,en,company
DINUSHAN NUWAN KUMARA WANNIARACHCHI,LK*1883109332,LK,en,individual
SECRETARY TO THE TREASURY,LK*81941,LK,en,government
LANKA COMMODITY BROKERS LTD,LK*904590536,LK,en,company
DHAMMIKA PERERA,LK*915337143,LK,en,individual
SMITH CLAN GROUP,LK*925273511,LK,en,company
MELCO HOLDINGS (PVT) LTD,LK*925275823,LK,en,company
IMS HOLDINGS PVT LTD,LK*925275826,LK,en,company
MELWIRE GROUP,LK*925321421,LK,en,company
BARTLEET GROUP,LK*925392749,LK,en,company
SRILANKAN AIRLINES,LK*929168387,LK,en,company
SEYLAN BANK PLC/CAPITAL ALLIANCE HOLDINGS LIMITED,LK*929311411,LK,en,company
ABERDEEN HOLDINGS PVT LTD,LK*932034812,LK,en,company
HATTON NATIONAL BANK A/C NO 1,LK*96216,LK,en,government
SRI LANKA,LK*J00S4131,LK,en,government
HVA LANKA EXPORT PVT LTD,LK*Z00009884,LK,en,company
MS ALWIS YUDEESHA DE,LK*Z00034473,LK,en,individual
CHC INVESTMENT PVT LTD,LK*Z00074634,LK,en,company
CEYLON HOTEL HOLDINGS PVT LTD,LK*Z00075463,LK,en,company
LOTUS RENEWABLE ENERGY PVT LTD,LK*Z00230076,LK,en,company
MJF TEAS (PVT) LTD,LK0000020097,LK,en,company
HIRDARAMANI (INDUSTRIES) LTD,LK0000020292,LK,en,company
SINWA HOLDINGS LIMITED,LK0000020444,LK,en,company
NOBLESWEAR (PVT) LTD,LK0000022895,LK,en,company
LALAN RUBBERS (PVT) LIMITED,LK0000026565,LK,en,company
MACKWOODS LIMITED,LK0000029045,LK,en,company
CEYLON BISCUITS LTD,LK0000032698,LK,en,company
FIBRETEC,LK0000036076,LK,en,company
IMPERIAL TEAS (PVT) LTD,LK0000038613,LK,en,company
STASSEN EXPORTS LTD,LK0000040848,LK,en,company
TIMEX GARMENTS (PVT) LTD,LK0000040988,LK,en,company
ABANS (PVT) LTD,LK0000042848,LK,en,company
CEYLON GUARDIAN INVESTMENT TRUST PLC,LK0000043022,LK,en,company
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,LK0000043259,LK,en,company
THE FINANCE COMPANY PLC,LK0000043435,LK,en,company
PEOPLES FINANCE PLC,LK0000043523,LK,en,company
SIERRA HOLDINGS (PVT) LTD,LK0000043727,LK,en,company
E W BALASURIYA & CO (PVT) LTD,LK0000045212,LK,en,family_firm
AMANA GLOBAL LIMITED,LK0000045746,LK,en,company
CARGILLS QUALITY FOODS PRIVATE LIMITED,LK0000046682,LK,en,company
PAINTS & GENERAL INDUSTRIES LTD,LK0000056224,LK,en,company
MOBITEL (PVT) LTD,LK0000057312,LK,en,company
CHEVRON CEYLON LTD,LK0000058452,LK,en,company
NAVARA CAPITAL PRIVATE LIMITED,LK0000059326,LK,en,company
KOREAN SPA PACKAGING PRIVATE LIMITED,LK0000067431,LK,en,company
L.T. L. HOLDING PRIVATE LIMITED,LK0000077787,LK,en,company
