parent_name,parent_id,parent_city,language,entity_type
GORBAN VARTAM,MD*110008976784,MD,ro,individual
SCURTU MIROSLAV,MD*110008998785,MD,ro,individual
GORBAN VARTAM,MD*110009897636,MD,ro,individual
GORBAN VARTAM,MD*110009897661,MD,ro,individual
PETCU DOINIANA,MD*110014868115,MD,ro,individual
SIRBU TUDOR,MD*110016159939,MD,ro,individual
CJSC FACTORY MOLDAVIZOLIT,MD*110019987460,MD,ru,company
CHISINAU MUNICIPALITY,MD*110023745061,MD,ro,government
MITU NICHIFOT,MD*110140810712,MD,ro,individual
CAPTARI RADU,MD*110140815197,MD,ro,individual
CAPTARI RADU,MD*110140815768,MD,ro,individual
SIMENIUC ALEXANDR,MD*110140817982,MD,ro,individual
NEGARA MARIN,MD*110145773512,MD,ro,individual
NEGARA MARIN,MD*110145773524,MD,ro,individual
TALMAZAN DOINA,MD*110150648155,MD,ro,individual
REVEDJUC VIOREL,MD*110154582227,MD,ro,individual
KOZLOV ALEXANDR,MD*110154582648,MD,ru,individual
MOLDAVIA ELEKTROMASH,MD*1316577765,MD,ru,company
GROSSU PANTELEI,MD*553986238,MD,ro,individual
NOVAC LIUBOVI,MD*554003017,MD,ro,individual
IURII MAISTRENCO,MD*555772958,MD,ru,individual
KANOPUS,MD*570189647,MD,ru,company
CAPTARI RADU,MD*570211121,MD,ro,individual
HEDIRKE MIHAJ,MD*570233190,MD,ro,individual
STROJSERVIS,MD*570234862,MD,ro,company
VINARIA,MD*602520108,MD,ro,company
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU PFB KONSALTING,MD*F00100960035361,MD,ru,company
MOLDOVA REP. OF,MD*J00S1651,MD,en,government
AGROCONSTRUCTIA,MD0000000080491,MD,ro,company
ASCOM-GRUP SA,MD002600006034,MD,ro,company
ZIDARUL-PRIM SRL,MD1002600000733,MD,ro,company
SUVOROV-VIN SRL ICS,MD1002600000803,MD,ru,company
MOLDOVA AGROINDBANK SA,MD1002600003778,MD,ro,company
MGM SRL,MD1002600004133,MD,ro,company
AITA ASOCIATIA INTERNATIONALA A TRANSPORTATORILOR AUTO DIN MOLDOVA,MD1002600005831,MD,ro,government
DIAZCHIM SRL,MD1002600008094,MD,ro,company
CETERONIS-ST SRL,MD1002600009541,MD,ro,company
LOGOS-GRUP,MD1002600010206,MD,ro,company
KELLEY GRAINS CORPORATION SRL ICS,MD1002600010343,MD,en,company
DAAC HERMES GRUP SA,MD1002600012163,MD,ro,company
JLC-INVEST,MD1002600013067,MD,ro,company
TEHMEDIATOR,MD1002600013584,MD,ro,company
LE BRIDGE CORPORATION LIMITED SRL ICS,MD1002600017397,MD,en,company
ENTEH SA,MD1002600018279,MD,ro,company
AMG-AGRO MANAGEMENT GRUP SRL SC,MD1002600019151,MD,ro,company
ENERGORESURSE,MD1002600021581,MD,ro,company
AKTSIONERNOE OBSHCHESTVO KHIDEKO,MD1002600023987,MD,ru,company
MOLDPRESA SA,MD1002600027114,MD,ro,company
INTERAGROINVEST SA,MD1002600027608,MD,ro,company
SANIN SRL IM MOLDO-ISRAELIANA,MD1002600027631,MD,ro,company
BERTONTRANS SRL,MD1002600028395,MD,ro,company
GLASS CONTAINER COMPANY SA,MD1002600028650,MD,en,company
BAVAX-,MD1002600029358,MD,ro,company
RDM SRL,MD1002600029716,MD,ro,company
LION-GRI SRL IM,MD1002600031009,MD,ro,company
EXIMOTOR SA,MD1002600034712,MD,ro,company
AGENTIA ECOTURNOVA SRL,MD1002600035498,MD,ro,company
BANCA SOCIALA SA,MD1002600035719,MD,ro,company
FIDESCO SRL COMPANIA INDUSTRIALA DE COMERT,MD1002600035890,MD,ro,company
AKVILA,MD1002600036200,MD,ro,company
SOCIETATEA COMERCIALA SIG-VEST GRUP,MD1002600036428,MD,ro,company
UNIVERSCOM SA,MD1002600037377,MD,ro,company
REPCOR-COM,MD1002600037506,MD,ro,company
ALVAR SERVICE SRL,MD1002600042281,MD,ro,company
VILEREX SRL,MD1002600042889,MD,ro,company
IVARO SRL FPC,MD1002600044090,MD,ro,company
VAVELI,MD1002600046692,MD,ro,company
VALAN INTERNATIONAL CARGO SRL,MD1002600046821,MD,en,company
IRALINA SRL,MD1002600050598,MD,ro,company
MARR SUGAR MOLDOVA,MD1002600051045,MD,en,company
ABS SRL,MD1002600052123,MD,ro,company
MOLDASIG SA,MD1002600053315,MD,ro,company
HOLDING MOLDSINDBALNEOTUR SRL,MD1002600055700,MD,ro,company
CUSTOMAGIC SRL,MD1002600056224,MD,en,company
FITOFAG SRL,MD1002601001829,MD,ro,company
ASCONI SRL,MD1002601003166,MD,ro,company
GHIPS-BIRUINTA SRL,MD1002602004159,MD,ro,company
RAIPLAI-AVICOLA SRL,MD1002604000454,MD,ro,company
GLORIA-QVARC SRL RETEA SAC,MD1002604001200,MD,ro,company
AVIS MMS SRL,MD1002605001665,MD,ro,company
LORITRANS-GRUP SRL,MD1003600000224,MD,ro,company
BOBI HAL,MD1003600006536,MD,ro,company
TANDEM-COM SRL,MD1003600006673,MD,ro,company
DEPOZITARUL NATIONAL DE VALORI MOBILIARE AL MOLDOVEI,MD1003600012333,MD,ro,government
DIO-PLUS SRL,MD1003600012609,MD,ro,company
ADENOSAR SRL,MD1003600014728,MD,ro,company
PREDPRIYATIE S INOSTRANNYM KAPITALOM VINNO-KONYACHNAYA FABRIKA MOLDAVSKII STANDART OOO,MD1003600015769,MD,ru,company
ATAI SRL,MD1003600016331,MD,ro,company
TREICET,MD1003600017154,MD,ro,company
ARHICONI-GRUP SRL,MD1003600020352,MD,ro,company
INTERAUTOTRANS SA,MD1003600021902,MD,ro,company
ACCENT ELECTRONIC SA,MD1003600023124,MD,ro,company
CONATER SB SRL,MD1003600027166,MD,ro,company
UNITED WINE COMPANY,MD1003600028026,MD,en,company
RA INVEST,MD1003600029850,MD,ro,company
SUS SRL,MD1003600031006,MD,ro,company
BIF-TRANSGRUP,MD1003600034971,MD,ro,company
