parent_name,parent_id,parent_city,language,entity_type
CLEAR FUTURE HOLDINGS LTD,MH*110000937139,MH,en,company
AFON FINANCE LTD,MH*110000937565,MH,en,company
EUROPE TRADE & INVESTMENT COMPANY INC.,MH*110002543220,MH,en,company
KING INVESTMENTS LTD.,MH*110014691317,MH,en,company
VESTELLIN KOMMERSHIAL LTD,MH*110019488365,MH,ru,company
PRIVILIDZH UIN KOMPANI LTD,MH*110019562437,MH,ru,company
EKSPRESS FORTUN LIMITED,MH*110019562438,MH,ru,company
DOUNER EDI TREIDING LTD.,MH*110019594267,MH,ru,company
BUMI ARMADA OFFSHOR KONTRAKTOR LIMITED,MH*110019647013,MH,ru,company
KOMPANIYA SAUSVEI GRUP LTD (SOUTHWAY GROUP LTD),MH*110019648888,MH,ru,company
LANUMA KORP. (LANUMA CORP.),MH*110019923214,MH,ru,company
LIVE COFFEE LIMITED,MH*110019967508,MH,en,company
ZANKOM INVEST LTD,MH*110019970114,MH,ru,company
KOMPANIYA SVISTI LTD (REESTR OT 29.02.12),MH*110020001090,MH,ru,company
SEAHORSE INTERNATIONAL S.A.,MH*110020028939,MH,en,company
VIATSA S.A.,MH*110020077872,MH,en,company
MELISMA TRADING LTD,MH*110020079494,MH,en,company
GREGOS INTERNATIONAL COMPANY,MH*110020082417,MH,en,company
EUREKA SHIPPING HOLDINGS LTD,MH*110020083983,MH,en,company
PRIMA MARITIME SERVICES LTD,MH*110020086584,MH,en,company
WILLY BETA SA,MH*110020158031,MH,en,company
SPORT MAXX LTD.,MH*110023451912,MH,en,company
VENEDAS INC.,MH*110023453192,MH,en,company
HIGH STREET LTD.,MH*110023456265,MH,en,company
ASPEN MARITIME INVESTMENT INC,MH*110024027783,MH,en,company
KOMPANIYA SIA DEVELOPMENT LEVSHINSKII KORP.,MH*110136693872,MH,ru,company
YUNIK KHOLDING KO.,MH*110136770056,MH,ru,company
KORPORATSIYA UEBSTER INTERNESHNL,MH*110136837224,MH,ru,company
LIMATON LIMITED,MH*110136845271,MH,en,company
BULCON HOLDING LTD,MH*110136885992,MH,en,company
CAR STORE GROUP LTD.,MH*110136891995,MH,en,company
ALISONITE LLC,MH*110136901814,MH,en,company
"SEACHANGE MARITIME, LLC",MH*110136966606,MH,en,company
MACOR HOLDINGS LTD,MH*110137027607,MH,en,company
ANITOKS INKORPOREITED,MH*110138031371,MH,ru,company
VIALANDA BUSINESS LTD.,MH*110140520586,MH,en,company
ALTAJIR VENTURES S.A.,MH*110143302388,MH,en,company
COMPAG RESOURCES LTD.,MH*110143309430,MH,en,company
ROCKWELL INTERNATIONAL HOLDING CO.,MH*110143309894,MH,en,company
DABLYU EL ES LIMITED,MH*110143720783,MH,ru,company
EISIMI FAIDUSARI SERVISES LTD.,MH*110148079895,MH,ru,company
KOMPANIYA FLESH AKSESS LIMITED (FLASH ACCESS LTD),MH*110148080842,MH,ru,company
KOMPANII MIRANDA ENTERPRAIZES LIMITED,MH*110150170457,MH,ru,company
FOREGUARD SHIPPING I LLC,MH*110150696717,MH,en,company
ASIA TRADE AND INVESTMENT CORP.,MH*110151631232,MH,en,company
ASIA TRADE AND INVESTMENT CORP,MH*110151632419,MH,en,company
NAVIG8 TECHNICAL MANAGEMENT HOLDINGS INC.,MH*110154328528,MH,en,company
HARTON ENGINEERING LTD.,MH*110157122353,MH,en,company
ULAR BUSINESS S.A.,MH*110157122670,MH,en,company
ANDREA HOLDINGS,MH*110166671151,MH,en,company
"MARSHALL ISLANDS DAYA MACHINERY CO., LTD.",MH*110193828115,MH,en,company
GART INTERNATIONAL INS,MH*1301603280,MH,en,company
KOMPANIYA BLYUMINGDEIL LTD,MH*1311880234,MH,ru,company
KORPORATSIYA GRIN KOMMERTS GMBH,MH*1312659635,MH,ru,company
KOMPANIYA BEIKON MENEDZHMENT SA,MH*1318642087,MH,ru,company
TOPAZ ASTRAKHAN LIMITED,MH*1331136471,MH,en,company
KOMMYUNIKEISHNZ SERVISEZ LTD,MH*1347129779,MH,ru,company
HILLGATE LDT,MH*1590494127,MH,en,company
RESOURCE INTERNATIONAL SA,MH*190521577445,MH,en,company
BORA HOLDINGS LTD,MH*190521577478,MH,en,company
HORIZONT PROPARTI INVESTMANT INKORPOREYTED,MH*190521577484,MH,ru,company
RESORT ESTATES LTD.,MH*190521577486,MH,en,company
BLT CHEMBULK TANKERS LLC,MH*314900464,MH,en,company
SKYNET S.A. (MARSHALL ISLANDS),MH*351302556,MH,en,company
RADOMIR PRINCIPAL LIMITED LLC,MH*531786479,MH,ru,company
KORPORATSIYA VORCHESTER KHOLDING INK,MH*602388028,MH,ru,company
SUNBRICK INVESTMENT LTD,MH*612034355,MH,en,company
KORPORATSIYA CLAYTON LTD,MH*612088511,MH,ru,company
JELCO DELTA HOLDING CORP,MH*905292315,MH,en,company
BUMI ARMADA OFFSHORE CONTRACTOR LIMITED,MH*928317369,MH,en,company
BANDOLA PROPERTIES LTD,MH*929229944,MH,en,company
"MAJORCA GROUP, LTD",MH*958022084,MH,en,company
