parent_name,parent_id,parent_city,language,entity_type
GROUPE BH,MO*110000858996,MO,fr,company
TCL MULTIMEDIA MEDIA MARKETING OFFS,MO*110136124494,MO,en,company
AO MEN XIE YU DI CHAN GONG SI,MO*110193828567,MO,zh,company
AO MEN ZHONG YUAN MAO YI XING,MO*110193831348,MO,zh,company
AO MEN HUA CHANG MAO YI FA ZHAN GONG SI,MO*110193831389,MO,zh,company
AO MEN JIA LI TOU ZI FA ZHAN YOU XIAN GONG SI,MO*110193832978,MO,zh,company
AO MEN XIN BAO SHI YE YOU XIAN GONG SI,MO*110193833148,MO,zh,company
AO MEN HE YUAN MAO YI XING,MO*110229718032,MO,zh,company
AO MEN JUN FANG MAO YI XING,MO*110237414224,MO,zh,company
AO MEN XIN CHENG SHI CHAO JI SHI CHANG *,MO*740003057,MO,zh,company
MACAU CEMENT MANUFACTURING CO LTD,MO*904173840,MO,en,company
STDM - INVESTMENTS LIMITED,MO*928169221,MO,en,company
USMART CHAIN SUPERMARKET CO., LTD,MO*Z00060332,MO,en,company
CESL-ASIA INVESTMENT & SERVICES LTD,MO000040024MAC,MO,en,company
BH INDUSTRIES LTD,MO000040031MAC,MO,en,company
ISA INDUSTRIAL LIMITED,MO298447061L,MO,en,company
INDUSTRIAL AND COMMERCIAL BANK of CHINA (MACAU) LIMITED,MO31581,MO,en,company
ENGINEER MOUSTAFA EL SAYED EBEID,MOCP0000472994,MO,ar,individual
MACAU INSURANCE CO. LTD,MOFEI1013282,MO,en,company
STDM - SOCIEDADE DE TURISMO E DIVERSÕES DE MACAU, SA,MONIF980017017,MO,pt,company
MBA (MACAU), SOCIEDADE UNIPESSOAL, LDA,MONIF980505119,MO,pt,company
HO CHUN KEI - COMPANHIA DE EMPREENDIMENTO LIMITADA,MONIF980518830,MO,pt,company
READINESS IT - SISTEMAS DE INTEGRAÇÃO MC, LIMITADA,MONIF980541611,MO,pt,company
COMPANHIA DE INVESTIMENTO NOVA LUSO-ESPANHOLA, LDA,MONIF980546885,MO,pt,company
P & H COMERCIO E INVESTIMENTO LDA,MONIF980560721,MO,pt,company
