parent_name,parent_id,parent_city,language,entity_type
MOHAMED MAHMOUD,MR*110022986288,MR,ar,individual
ZHONG ZHOU JING MI KE JI GU FEN YOU XIAN GONG SI,MR*740684456,MR,zh,company
BRIGHTSTAR RESOURCES LIMITED,MR*740685916,MR,en,company
GROUPE BSA,MR*915349386,MR,fr,company
AHMED SALECK MOHAMED LEMINE GROUP,MR0000019848,MR,fr,company
GROUPE WAFA S.A.,MR0000020015,MR,fr,company
STAR OIL MAURITANIE S.A.,MR0000020414,MR,fr,company
ASML GROUP,MR0000020967,MR,en,company
GOVERNMENT OF MAURITANIA,MR0000021898,MR,en,government
FULL STAR CO LTD,MR0000022689,MR,en,company
ISLAMIC REPUBLIC OF MAURITANIA,MR2-200291,MR,en,government
