parent_name,parent_id,parent_city,language,entity_type
UNITED GLOBAL RESOURCES LIMITED,NG*110007127013,NG,en,company
FED HOUSING AUTHORITY,NG*110024254136,NG,en,government
FAYSAL NULL CAPTAN,NG*110151355739,NG,en,individual
VALUE ADDED NETWORK SOLUTIONS NIGERIA LIMITED,NG*110154417016,NG,en,company
ARM CAPITAL PARTNERS LIMITED,NG*190521668252,NG,en,company
MANUWA ADEDEJIUBA,NG*555470484,NG,en,individual
NIGERIAN CITIZENS AND ASSOCIATIONS,NG*65885,NG,en,company
AFFELKA SA,NG*915270035,NG,en,company
L.A.T CLEVESON (NIG) LTD,NG*B000085954,NG,en,company
TOSTKAN FINANCE LTD,NG*B000092012,NG,en,company
DANGOTE CEMENT PLC,NG*L000000028089,NG,en,company
NIGERIA LNG LIMITED (NLNG),NG*L000000040859,NG,en,company
ASSET MANAGEMENT CORPORATION OF NIGERIA,NG*L000000054964,NG,en,government
TAVISSTOCK GLOBAL RESOURCE LTD,NG*M00712249222,NG,en,company
REGENCY ALLIANCE INSURANCE PLC,NG*S00122910,NG,en,company
ETERNA PLC,NG124136R,NG,en,company
ACCESS BANK PLC,NG125384R,NG,en,company
GUARANTY TRUST BANK PLC,NG152321R,NG,en,company
C & I LEASING PLC,NG161070R,NG,en,company
CONSOLIDATED HALLMARK INSURANCE PLC,NG168762R,NG,en,company
DELTA MARINE SHIPPING COMPANY LTD,NG175352R,NG,en,company
SKYE BANK PLC,NG19994,NG,en,company
CHAGOURY GROUP (THE),NG2-179552,NG,en,company
PW GROUP,NG2-179584,NG,en,company
CONAU LTD,NG2-180550,NG,en,company
R28 LTD,NG2-180656,NG,en,company
HANS GREMLIN NIGERIA LTD,NG2-180833,NG,en,company
DAMNAZ CEMENT COMPANY LTD,NG2-180917,NG,en,company
EXCELSIOR SHIPPING COMPANY LTD,NG2-181777,NG,en,company
BAYELSA STATE MINISTRY OF FINANCE INCORPORATED (BSMFI),NG2-182140,NG,en,government
MRS AFRICA HOLDINGS LTD,NG2-182254,NG,en,company
NIGERIAN POLICE CO-OPERATIVE SOCIETY LTD,NG2-182470,NG,en,company
TGHL CAPITAL LTD,NG2-182562,NG,en,company
CORPORATE HOLDINGS LIMITED,NG2-182610,NG,en,company
NIGERIAN NATIONAL PETROLEUM CORPORATION,NG2-182950,NG,en,government
CAPASURE NIGERIA LTD,NG2-190744,NG,en,company
TASMANIA INVESTMENT LTD,NG2-191241,NG,en,company
BOUSSOLE INTEGRATED LTD,NG2-192259,NG,en,company
CRUSADER NIGERIA PLC,NG2-19464,NG,en,company
TOPARTE NIGERIA LTD,NG2-196741,NG,en,company
ROMMAC AGENCIES LIMITED,NG2-225226,NG,en,company
GLOBAL FLEET OIL AND GAS LIMITED UK,NG2-225826,NG,en,company
CONPETRO LTD,NG2-24908,NG,en,company
INTEGRATED DATA SERVICES LIMITED,NG2-249862,NG,en,company
SILOAM GLOBAL SERVICES LTD,NG2-29134,NG,en,company
DANGOTE CEMENT PLC,NG208767R,NG,en,company
SEA TRUCKS GROUP,NG22230R,NG,en,company
UNITY BANK PLC,NG27090,NG,en,company
LINKSERVE LTD,NG294128R,NG,en,company
LAFARGE AFRICA PLC,NG30028KN,NG,en,company
JOS INTERNATIONAL BREWERIES PLC,NG30037KN,NG,en,company
NIGERIAN AVIATION HANDLING COMPANY PLC,NG30237KN,NG,en,company
OMATEK VENTURES PLC,NG30241KN,NG,en,company
SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,NG30276KN,NG,en,company
AIRLINE SERVICES AND LOGISTICS PLC,NG304508R,NG,en,company
VITAFOAM NIGERIA PLC,NG3094R,NG,en,company
CHIBEK INSTRUMENTS LTD,NG314856R,NG,en,company
UAC OF NIGERIA PLC,NG341R,NG,en,company
FIDELITY BANK PLC,NG37402,NG,en,company
WEMA BANK PLC,NG38208,NG,en,company
UNIC INSURANCE PLC,NG4260R,NG,en,company
DIAMOND BANK PLC,NG43298,NG,en,company
ZENITH BANK PLC,NG44685,NG,en,company
UNITED BANK FOR AFRICA PLC,NG45329,NG,en,company
FIRST CITY MONUMENT BANK GROUP PLC,NG46713R,NG,en,company
FBN HOLDINGS PLC,NG50074,NG,en,company
STANBIC IBTC HOLDINGS PLC,NG51177,NG,en,company
JULIUS BERGER NIGERIA PLC,NG6352R,NG,en,company
CHELLARAMS PLC,NG639R,NG,en,company
COSTAIN WEST AFRICA PLC,NG672R,NG,en,company
DANGOTE INDUSTRIES LIMITED,NG71242R,NG,en,company
AIICO INSURANCE PLC,NG7340R,NG,en,company
CHAMS PLC,NG76807R,NG,en,company
OIL AND INDUSTRIAL SERVICES LTD.,NG87717R,NG,en,company
AFRICAN REINSURANCE CORPORATION (NIGERIA),NGFEI1003782,NG,en,company
WAPIC INSURANCE PLC,NGFEI1009646,NG,en,company
EQUITY ASSURANCE PLC,NGFEI1013322,NG,en,company
NEM INSURANCE PLC,NGFEI1013332,NG,en,company
STANDARD ALLIANCE INSURANCE PLC,NGFEI1013336,NG,en,company
STACO INSURANCE PLC,NGFEI1013338,NG,en,company
ROYAL EXCHANGE PLC,NGFEI1016502,NG,en,company
CUSTODIAN AND ALLIED PLC,NGFEI1016560,NG,en,company
"MAIN ONE CABLE COMPANY, LTD",NGNIF980400856,NG,en,company
