parent_name,parent_id,parent_city,language,entity_type
MAINSBRIDGE PTY LIMITED,PG*110141220797,PG,en,company
SHARE REGISTER,PG*110141220910,PG,en,company
SHARE REGISTER,PG*110141220915,PG,en,company
SELEPA O'HANLON,PG*1880689198,PG,en,individual
GEORGE WILLIAM ISIAH DOONAN,PG*1881697098,PG,en,individual
CURTAIN BROS. PAPUA NEW GUINEA PTY. LTD,PG*T00021528016,PG,en,company
KINA SECURITIES LIMITED,PG1-10989,PG,en,company
OIL SEARCH LIMITED,PG1-125,PG,en,company
QUOIN (INT) LIMITED,PG1-13829,PG,en,company
ANITUA LIMITED,PG1-18830,PG,en,company
MRL CAPITAL LIMITED,PG1-21497,PG,en,company
OROGEN MINERALS LIMITED,PG1-25619,PG,en,company
UNAWOS INVESTMENTS LIMITED,PG1-25721,PG,en,company
NIMMI HOLDINGS LTD,PG1-29611,PG,en,company
BANK of SOUTH PACIFIC LTD.,PG1-4815,PG,en,company
MINERAL RESOURCES DEVELOPMENT COMPANY LIMITED,PG1-5231,PG,en,government
CAPITAL INSURANCE GROUP LTD,PG1-52579,PG,en,company
KINA ASSET MANAGEMENT LIMITED,PG1-61047,PG,en,company
OK TEDI MINING LIMITED,PG1-6233,PG,en,company
KINA PETROLEUM LIMITED,PG1-63551,PG,en,company
