parent_name,parent_id,parent_city,language,entity_type
SH MUHAMMAD TARIQ,PK*110001211698,PK,ur,individual
SYED RAFI-UD-DIN,PK*110006917532,PK,ur,individual
KHAWAJA NAVEED AZAM,PK*110009970527,PK,ur,individual
MADIHA MOULVI,PK*110009970535,PK,ur,individual
WAVETEC PVT LTD,PK*110014898531,PK,en,company
NOREEN SOHAIL,PK*110014955596,PK,ur,individual
SHAIKH FAZAL AHMED,PK*110018877808,PK,ur,individual
MUJEEBULLAH KHAN,PK*110018877841,PK,ur,individual
MADIHA MAHMOOD MOULVI,PK*110018877869,PK,ur,individual
RANA MUHAMMAD TARIQ KHAN,PK*110018877871,PK,ur,individual
CH. MUHAMMAD ASLAM,PK*110021280016,PK,ur,individual
ABDUL RAHIM KHAN,PK*110022069387,PK,ur,individual
CH. SALAMAT ALI,PK*110023255463,PK,ur,individual
IKHLAQ AHMED,PK*110023985047,PK,ur,individual
CH. MUHAMMAD HABIB KANWAL,PK*110136966062,PK,ur,individual
BAHER KARAM AFDHAL,PK*110145945401,PK,ar,individual
SHAHNAZ RASHED MOHAMMED,PK*110145956043,PK,ar,individual
MEKHTIAR MOHAMMED MOHAMMED,PK*110145956507,PK,ar,individual
ABED AL BARI MOHAMMED SADEK,PK*110146016003,PK,ar,individual
MOHAMMED ABDULLA FOUAD MOUNIR,PK*110146067298,PK,ar,individual
MR.  AKBAR AHMED,PK*110154846692,PK,ur,individual
KES POWER LIMITED,PK*110190942788,PK,en,company
SIKANDAR (PRIVATE) LIMITED,PK*110190944937,PK,en,company
AL MEEZAN INVESTMENTS MANAGEMENT LIMITED,PK*110190960529,PK,en,company
JAVIER GUIJARRO,PK*332011096,PK,es,individual
NATTEN RAZZAQ GILL,PK*351307318,PK,ur,individual
PUNJAB PROVINCIAL GOVERNMENT,PK*74654,PK,en,government
MEHTABUDDIN CHAWLA,PK*851001492,PK,ur,individual
RASHID AHMED WAZIR BAKHSH,PK*915184767,PK,ur,individual
GOVERNMENT OF KHYBER PAKHTUNKHWA,PK*915199032,PK,en,government
CHARITABLE TRUSTS,PK*915210842,PK,en,company
PROFINANCE ENTERPRISES CORP,PK*918524530,PK,en,company
SHAFI GROUP OF COMPANIES,PK*919112594,PK,en,family_firm
GIGA GROUP,PK*923237784,PK,en,company
SWISSPO MANUFACTURING GROUP,PK*925242451,PK,en,company
THE JAHANGIR SIDDIQUI GROUP,PK*925250122,PK,en,family_firm
MONNOO GROUP,PK*970000469,PK,en,family_firm
READERS SHIPPING INC,PK*B000055581,PK,en,company
