parent_name,parent_id,parent_city,language,entity_type
TELEFONICA EL SALVADOR HOLDING SA DE CV,SV*1624283,SV,es,company
"CORPORACION APOLO, S A DE CV",SV*190521669937,SV,es,company
AEROVIAS DEL CONTINENTE AMERICANO SUCURSAL EL SALVADOR SA DE CV,SV*190521669971,SV,es,company
CORPORACION TS SA DE CV,SV*918636486,SV,es,company
INVERSIONES FINANCIERAS IMPERIA CUSCATLAN S.A,SV*918648967,SV,es,company
INVERSIONES FINANCIERAS GRUPO AZUL SA,SV*918649011,SV,es,company
EL SALVADOR,SV*J00S3108,SV,es,government
REGAL FOREST HOLDING COMPANY LTD,SV*Z00067115,SV,en,company
BANCO CENTRAL DE RESERVA DE EL SALVADOR,SV06140107740062,SV,es,government
EXELL BUSINESS LTD.,SV98972609641015,SV,en,company
