parent_name,parent_id,parent_city,language,entity_type
TRIUMPH UNIVERSAL LISA AG,SZ*110000716980,SZ,de,company
RONDA AG,SZ*110000727035,SZ,de,company
DRAGO INK CO LTD,SZ*110000727099,SZ,en,company
FROM HOSTDING AG,SZ*110000750095,SZ,de,company
FRITZ GEGAO AJI LTD,SZ*110007124516,SZ,de,company
MULTIVAC EXPORT A G,SZ*110137261803,SZ,de,company
MINISTRY OF INFORMATION AND COMMUNICATIONS TECHNOLOGY,SZ0000019847,SZ,en,government
STEEL & WIRE INTERNATIONAL PTY LTD,SZ0000020363,SZ,en,company
SWAZILAND SUGAR ASSOCIATION,SZ0000020548,SZ,en,company
SWAZILAND PROPERTY INVESTMENT LIMITED,SZ30003MS,SZ,en,company
