parent_name,parent_id,parent_city,language,entity_type
EGGS TRAUT,TT*110015635724,TT,en,individual
KHLIP PHARE WOECHIN,TT*110151094736,TT,en,individual
GUARDIAN INSURANCE LIMITED,TT*1460902,TT,en,company
METHANOL HOLDING INTERNATIONAL LIMITED,TT*1610067800,TT,en,company
VICTOR E. MOUTTET LIMITED,TT*190521672001,TT,en,company
C.L. FINANCIAL LIMITED,TT*B000018831,TT,en,company
FIRST CITIZENS HOLDINGS LTD.,TT*I00011589068,TT,en,company
TRINIDAD CEMENT LIMITED,TT30003WF,TT,en,company
MASSY HOLDINGS LTD,TT30013WF,TT,en,company
MORA VEN HOLDINGS LIMITED,TT30025WF,TT,en,company
L.J. WILLIAMS LIMITED,TT30036WF,TT,en,company
RBC FINANCIAL (CARIBBEAN) LIMITED,TT30970,TT,en,company
REPUBLIC FINANCIAL HOLDINGS LIMITED,TT31774,TT,en,company
GUARDIAN HOLDINGS LTD,TTFEI1006375,TT,en,company
MARITIME LIFE (CARIBBEAN) LTD,TTFEI1013835,TT,en,company
