parent_name,parent_id,parent_city,language,entity_type
LYXOR LTD.,VC*110001524407,VC,en,company
NEW NETWORK SOLUTIONS LTD,VC*110002997264,VC,en,company
BOWRIN HOLDINGS LIMITED,VC*110008315143,VC,en,company
JASARA TRADE LTD,VC*110020079499,VC,en,company
CAMBERWELL CORP,VC*110023310800,VC,en,company
ARIANNE LTD.,VC*110023984843,VC,en,company
OMIKON INVEST LIMITED,VC*110140717034,VC,en,company
KOMPANIYA PALMSPRINGZ LIMITED,VC*110141695776,VC,en,company
MEZHDUNARODNAYA KOMMERCHESKAYA KOMPANIYA RAZNOIMPORT KHOLDINGS LTD,VC*1304160692,VC,en,company
MEZHDUNARODNAYA KOMMERCHESKAYA KOMPANIYA ORIZN KAMPENI ES. EI.,VC*1310267657,VC,en,company
KOMPANIYA ZI IMADZHINEISHNZ GRUP INK.,VC*1332081996,VC,en,company
INTEGRIS LIMITED,VC*1630107859,VC,en,company
ORCHID HOLDING LTD.,VC*490570044,VC,en,company
W SERVICES LTD.,VC*490683003,VC,en,company
BAUHAUS PROJEKTMANAGEMENT LIMITED,VC*531920858,VC,en,company
QUINTOR COMPANY LTD,VC*532147903,VC,en,company
ORCHID MULTI COMPLEX VARNA 2006 LTD,VC*533585575,VC,en,company
MK OVERSIZ BEST FUD KORPOREISHN,VC*611015028,VC,en,company
KOMPANIYA NEVET KHOLDING LTD,VC*611739219,VC,en,company
SOLWAY INDUSTRIES,VC*612074776,VC,en,company
KARBONA SEILS LIMITED,VC*616834255,VC,en,company
PREMIUM TRADE INTERNATIONAL LTD,VC*780121521,VC,en,company
STEEL RAVEN LTD,VC*887040292,VC,en,company
BELLPORT CORPORATION,VC*908411968,VC,en,company
HONOR ESTABLISHMENT LTD,VC*B000014062,VC,en,company
LEX HOLDINGS LTD,VC*B000039747,VC,en,company
MCM SERVICES NO 1 LTD,VC*B000041880,VC,en,company
RAZNOIMPORT HOLDINGS LTD,VC*B000058056,VC,en,company
INSPIRON ONE INC,VC*B000069163,VC,en,company
TYNCO INVESTMENTS LTD,VC*B000074023,VC,en,company
PILATUS LTD,VC*B000076789,VC,en,company
STRONGFIELD MARKETING LTD,VC*B000080390,VC,en,company
GRIANAN LTD,VC*B000080976,VC,en,company
"FRONTERA ENTERPRISES, LTD",VCNIF980394368,VC,en,company
