parent_name,parent_id,parent_city,language,entity_type
TRADEQUIP VENEZUELA COMPAÑIA ANONIMA,VE*110015456301,VE,es,company
MALUMA S.R.L.,VE*110016144126,VE,es,company
EMPRESAS POLAR SA,VE*190521672941,VE,es,company
Y&V INGENIERIA Y CONSTRUCCION C.A.,VE*190521673329,VE,es,company
INTERVEN VENEZUELA S.A.,VE*190521673758,VE,es,company
"MINISTERIO DEL PODER POPULAR PARA CIENCIA, TECNOLOGIA E INNOVACION",VE*190521673864,VE,es,government
VON FEDAK VON STILLFRIED ANDRAS ORBAN,VE*909003892,VE,en,individual
INVERSIONES INVERSEGVEN SA,VE*916207131,VE,es,company
GRUPO FINANCIERO B.O.D.,VE*918597420,VE,es,company
PDV ANDINA S.A.,VE*921355326,VE,es,company
CAF - DEVELOPMENT BANK OF LATIN AMERICA,VE*923237638,VE,en,company
"INVERSORA IBESEG , C.A",VE*935099199,VE,es,company
COMMERCIT S.A.,VE*980023716,VE,es,company
VIKING INTERNATIONAL,VE*A0016761779,VE,en,company
VENEZUELA,VE*J00S3271,VE,es,government
INVERSIONES SEGUCASAI CA,VE2-162896,VE,es,company
VENCRED S.A Y FILIALES,VE30037LV,VE,es,company
MINISTERIO DEL PODER POPULAR DE PETROLEO Y MINERIA,VEG200004088,VE,es,government
BANCO DEL CARIBE CA,VEJ000029490,VE,es,company
"VENEZOLANO DE CREDITO SA, BANCO UNIVERSAL",VEJ000029709,VE,es,company
"MANTEX, S.A.C.A.",VEJ000062102,VE,es,company
MANUFACTURAS DE PAPEL C.A. (MANPA) S.A.C.A.,VEJ000235309,VE,es,company
CORIMON C.A. S.A.CA.,VEJ000256411,VE,es,company
SIDERURGICA VENEZOLANA S.A.C.A.,VEJ000346720,VE,es,company
MABE,VEJ000464804,VE,es,company
INVERSIONES TIQUIRITO CA,VEJ000636419,VE,es,company
COLOMURAL CA,VEJ000937290,VE,es,company
"CARTERA DE INVERSIONES VENEZOLANAS, C.A.",VEJ003312487,VE,es,company
"MERCANTIL SERVICIOS FINANCIEROS, C.A.",VEJ304381352,VE,es,company
CORPORACION INDUSTRIAL DE ENERGIA C.A.,VEJ305587574,VE,es,company
"PROYECTOS KATERINE 150, C.A.",VEJ308216569,VE,es,company
CORPORACION FDVA C A,VEJ402524897,VE,es,company
SUELOPETROL MATRIZ CA,VEJ402628730,VE,es,company
