parent_name,parent_id,parent_city,language,entity_type
LET CHA KO INTOENECHANNAEN CHI-EM BI ET,YE*110020678686,YE,ar,company
GRAPHIC SIGN (ABDULQADER AND BROTHER),YE*110146428044,YE,ar,family_firm
ALI MOHAMMED AL HABBARI GROUP,YE*110155128627,YE,ar,company
HAYEL SAEED ANAM AND COMPANY LTD,YE0000042017,YE,ar,company
MOHAMMED ALI SALEH EL HASHEDI & BROTHERS,YE0000112715,YE,ar,family_firm
GOVERNMENT OF YEMEN,YE0000112790,YE,ar,government
HAYEL SAEED ANAAM & PARTNERS COMPANY CSC,YE0000365672,YE,ar,family_firm
NATIONAL TRADING COMPANY,YE0001579845,YE,ar,company
INTERNATIONAL BANK of YEMEN YSC,YE32373,YE,ar,company
MR. RADWAN ABDO SHEHARY,YECP0000413030,YE,ar,individual
DR. SHIHAB YEHYA ISKANDAR,YECP0000433672,YE,ar,individual
MR. TAHA AHMED AL KATEN,YECP0000439194,YE,ar,individual
MAISON SALEM ALI AL-ZAGHIR,YECP3022884,YE,ar,company
